,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,placeLabel,ao_link,ao_description,address,url,description,fetched_coordinates
235,http://www.wikidata.org/entity/Q5535166,,https://en.wikipedia.org/wiki/Geography_of_Kolkata,Point(88.3638815 22.5726723),0.003,22.5726723,88.3638815,3.0,http://www.wikidata.org/entity/Q46865913,geography of Kolkata,geography of geographic location,C,yellow,,,,,,,
237,http://www.wikidata.org/entity/Q5656757,,https://en.wikipedia.org/wiki/Hare_School,Point(88.36298 22.575648),0.347,22.575648,88.36298,3.0,http://www.wikidata.org/entity/Q1713379,Hare School,boys' school,C,yellow,,,,,,,
240,http://www.wikidata.org/entity/Q5766377,,"https://en.wikipedia.org/wiki/Hindu_School,_Kolkata",Point(88.363499999 22.5761),0.386,22.576100000628,88.363499999897,3.0,http://www.wikidata.org/entity/Q1713379,Hindu School,boys' school,C,yellow,,,,,,,
243,http://www.wikidata.org/entity/Q6020723,,https://en.wikipedia.org/wiki/Indian_Institute_of_Social_Welfare_and_Business_Management,Point(88.3608 22.5762),0.507,22.5762,88.3608,3.0,http://www.wikidata.org/entity/Q1143635,Indian Institute of Social Welfare and Business Management,business school,C,yellow,,,,,,,
247,http://www.wikidata.org/entity/Q6427300,,https://en.wikipedia.org/wiki/Kolkata_Little_Magazine_Library_And_Research_Center,Point(88.36503 22.57682),0.479,22.57682,88.36503,3.0,http://www.wikidata.org/entity/Q7075,Kolkata Little Magazine Library And Research Center,library,C,yellow,,,,,,,
248,http://www.wikidata.org/entity/Q6680900,,"https://en.wikipedia.org/wiki/Loreto_College,_Kolkata",Point(88.352263888 22.550169444),2.77,22.550169444444,88.352263888889,3.0,http://www.wikidata.org/entity/Q3660535,Loreto College,women's college,C,yellow,,,,,,,
249,http://www.wikidata.org/entity/Q6732833,,https://en.wikipedia.org/wiki/Mahajati_Sadan,Point(88.361886111 22.581147222),0.968,22.581147222222,88.361886111111,3.0,http://www.wikidata.org/entity/Q41176,Mahajati Sadan,building,C,yellow,,,,,,,
252,http://www.wikidata.org/entity/Q6755206,,https://en.wikipedia.org/wiki/Marble_Palace_Zoo,Point(88.3595 22.582),1.134,22.582,88.3595,3.0,http://www.wikidata.org/entity/Q43501,Marble Palace Zoo,zoo,C,yellow,,,,,,,
253,http://www.wikidata.org/entity/Q6792417,,https://en.wikipedia.org/wiki/Maulana_Abul_Kalam_Azad_Institute_of_Asian_Studies,Point(88.356568 22.533024),4.469,22.533024,88.356568,3.0,http://www.wikidata.org/entity/Q31855,Maulana Abul Kalam Azad Institute of Asian Studies,research institute,C,yellow,,,,,,,
254,http://www.wikidata.org/entity/Q6824536,,https://en.wikipedia.org/wiki/Metro_Cinema_(Kolkata),Point(88.3494 22.5641),1.766,22.5641,88.3494,3.0,http://www.wikidata.org/entity/Q41253,Metro Cinema,movie theater,C,yellow,,,,,,,
255,http://www.wikidata.org/entity/Q6963179,,https://en.wikipedia.org/wiki/Nandan_(Kolkata),Point(88.3455 22.5421),3.886,22.5421,88.3455,3.0,http://www.wikidata.org/entity/Q41253,Nandan,movie theater,C,yellow,,,,,,,
256,http://www.wikidata.org/entity/Q6973689,,"https://en.wikipedia.org/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Kolkata",Point(88.398897555 22.580055),3.687,22.580055000594,88.398897555572,3.0,http://www.wikidata.org/entity/Q2085148,"National Institute of Pharmaceutical Education & Research, Kolkata",pharmacy school,C,yellow,,,,,,,
260,http://www.wikidata.org/entity/Q7007106,,https://en.wikipedia.org/wiki/New_Empire_Cinema_(Kolkata),Point(88.3493 22.5605),2.017,22.5605,88.3493,3.0,http://www.wikidata.org/entity/Q41253,New Empire Cinema,movie theater,C,yellow,,,,,,,
266,http://www.wikidata.org/entity/Q7285591,,"https://en.wikipedia.org/wiki/University_College_of_Science,_Technology_and_Agriculture",Point(88.373147 22.578863),1.175,22.578863,88.373147,3.0,http://www.wikidata.org/entity/Q30785519,"University College of Science, Technology & Agriculture",university campus,C,yellow,,,,,,,
268,http://www.wikidata.org/entity/Q7437647,,https://en.wikipedia.org/wiki/Scottish_Cemetery_at_Calcutta,Point(88.362621 22.544835),3.095,22.544835,88.362621,3.0,http://www.wikidata.org/entity/Q39614,Scottish Cemetery,cemetery,C,yellow,,,,,,,
281,http://www.wikidata.org/entity/Q15254588,,https://en.wikipedia.org/wiki/Mohun_Bagan_Ground,Point(88.342223 22.562035),2.519,22.562035,88.342223,3.0,http://www.wikidata.org/entity/Q1154710,Mohun Bagan Ground,association football venue,C,yellow,,,,,,,
286,http://www.wikidata.org/entity/Q19950963,,"https://en.wikipedia.org/wiki/Old_Mission_Church,_Kolkata",Point(88.351466 22.5717),1.28,22.5717,88.351466,3.0,http://www.wikidata.org/entity/Q16970,Old Mission Church,church building,C,yellow,,,,,,,
287,http://www.wikidata.org/entity/Q21190905,,https://en.wikipedia.org/wiki/Maa_Flyover,Point(88.3879076 22.5414815),4.253,22.5414815,88.3879076,3.0,http://www.wikidata.org/entity/Q1425560,Maa Flyover,overpass,C,yellow,,,,,,,
290,http://www.wikidata.org/entity/Q28172108,,https://en.wikipedia.org/wiki/Calcutta_International_Exhibition,Point(88.350833333 22.558055555),2.105,22.558055555556,88.350833333333,3.0,http://www.wikidata.org/entity/Q172754,Calcutta International Exhibition,world's fair,C,yellow,,,,,,,
301,http://www.wikidata.org/entity/Q30639601,,https://en.wikipedia.org/wiki/Victoria_metro_station_(Kolkata),Point(88.341615 22.551344),3.293,22.551344,88.341615,3.0,http://www.wikidata.org/entity/Q28109487,Victoria metro station,proposed railway station,C,yellow,,,,,,,
302,http://www.wikidata.org/entity/Q31726001,,https://en.wikipedia.org/wiki/Tala_tank,Point(88.378888888 22.61),4.429,22.61,88.378888888889,3.0,http://www.wikidata.org/entity/Q274153,Tala Tank,water tower,C,yellow,,,,,,,
303,http://www.wikidata.org/entity/Q54317695,,"https://en.wikipedia.org/wiki/Dhakeshwari_Mata_Temple,_Kumortuli",Point(88.36 22.6),3.068,22.6,88.36,3.0,http://www.wikidata.org/entity/Q842402,"Dhakeshwari Mata Temple, Kumortuli",Hindu temple,C,yellow,,,,,,,
314,http://www.wikidata.org/entity/Q56682439,,"https://en.wikipedia.org/wiki/Boat_Museum,_Kolkata",Point(88.3908211 22.5818776),2.949,22.582,88.391,3.0,http://www.wikidata.org/entity/Q33506,Boat museum,museum,C,yellow,,,,,,,
