,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,item,articleDE,articleEN,location,distance,sitelinks,thing,to_drop_key
142,https://www.atlasobscura.com/places/sasbahu-temples,26.223256,78.167927,"
Sasbahu Temples
","
A pair of nearly 1,000-year-old temples profusely covered in meticulous stone carvings.
1,,26.215532,78.183195,Indian Coffee House ,,wikivoyage,red,"LNUPE Campus, Kampoo ",http://www.indiancoffeehouse.com/ ,Eat_Cafes,,"(26.215532, 78.183195)",,,,,,,,"(26.215532, 78.183195)"
0,,26.215383,78.1707045,Cafe Coffee Day ,,wikivoyage,red, , ,Eat_Cafes,Inside Ushar Kiran Palace,"(26.215383, 78.1707045)",,,,,,,,"(26.215383, 78.1707045)"
4,,26.203517,78.163315,Volga ,,wikivoyage,red,"Jayendraganj, Shinde Ki Chhawani ", ,Eat,,"(26.203517, 78.163315)",,,,,,,,"(26.203517, 78.163315)"
3,,26.1936,78.1551,SS Kachoriwala ,,wikivoyage,red,"Naya Bazar Road Kampoo, Lashkar ", ,Eat,"An institution at Gwalior for over 60 years, the samosas, jalebis and of course kachoris are not to be missed. Try the bedai kachori which is stuffed with potato curry inside.","(26.1936, 78.1551)",,,,,,,,"(26.1936, 78.1551)"
2,,26.209443,78.166498, Raj Bhog ,,wikivoyage,red,Dindayal Mall Maharani Laxmibai Marg , ,Eat,,"(26.209443, 78.166498)",,,,,,,,"(26.209443, 78.166498)"
1,,26.199314,78.164101,Lazeez Restaurant ,,wikivoyage,red," Sanatan Dharm Mandir Road, Lashkar ", ,Eat,,"(26.199314, 78.164101)",,,,,,,,"(26.199314, 78.164101)"
0,,26.208394,78.189329,Kwality ,,wikivoyage,red,Captain Upmanyu Singh Marg ,http://www.kwalitygwalior.com/ ,Eat,,"(26.208394, 78.189329)",,,,,,,,"(26.208394, 78.189329)"
1,,26.214748,78.203174,Double Hatth Ras ,,wikivoyage,red,"Gandhi Rd, Thatipur ", ,Eat,Multi-cuisine restaurant.,"(26.214748, 78.203174)",,,,,,,,"(26.214748, 78.203174)"
0,,26.224473,78.194684,Chotiwala Restaurant ,,wikivoyage,red,"Racecourse Road, LNUPE Campus, Kampoo ", ,Eat,,"(26.224473, 78.194684)",,,,,,,,"(26.224473, 78.194684)"
0,,0.0,0.0,Bahdura Sweets ,,wikivoyage,red, Lohiya Bazaar Road , ,Eat,Famous for its ladoos and gulab jamun. All of the sweets are made from pure ghee.,"(0, 0)",,,,,,,,"(0.0, 0.0)"
1,,26.2037247,78.1573628,--,,wikivoyage,red,,,Buy,,"(26.2037247, 78.1573628)",,,,,,,,"(26.2037247, 78.1573628)"
0,,29.6323214,79.61456305384945, Sun Temple,,wikivoyage,red, , ,See_Religious buildings,"The Surya Mandir or Sun Temple is one of the most spectacular shrines as well as an architectural wonder that adorns the city of Gwalior. As the name suggests, the temple is dedicated to the holy Sun God and was constructed in 1988 by the famous industrialist G.D. Birla. Built on the lines of legendary Sun Temple at Konark, Orissa, the Sun Temple of Gwalior is a magnificent amalgam of exquisite architecture in red sandstone and pearly white marble.","(29.6323214, 79.61456305384945)",,,,,,,,"(29.6323214, 79.61456305384945)"
5,,26.2274101,78.1612907, Koteshwar,,wikivoyage,red, , ,See_Religious buildings,An historical temple dedicated to the Hindu gov Shiva. ,"(26.2274101, 78.1612907)",,,,,,,,"(26.2274101, 78.1612907)"
3,,26.2161503,78.1681714,Gopachal ,,wikivoyage,red, , ,See_Religious buildings,The largest statue of Lord Parshvanath (seated on a lotus carved out of one stone) in the world),"(26.2161503, 78.1681714)",,,,,,,,"(26.2161503, 78.1681714)"
0,,23.0800732,72.56350153057433, Achaleshwar,,wikivoyage,red, , ,See_Religious buildings,,"(23.0800732, 72.56350153057433)",,,,,,,,"(23.0800732, 72.56350153057433)"
0,,26.20472,78.16859,Jai Vilas Palace ,,wikivoyage,red, ,http://www.jaivilasmuseum.org/ ,See_Landmarks,A former residential palace turned museum of Scindias. Contains the world's largest chandelier as well as many diverse collections of antiques and gadgets.,"(26.20472, 78.16859)",,,,,,,,"(26.20472, 78.16859)"
1,,26.2303,78.1689,Gwalior Fort ,,wikivoyage,red, , ,See_Landmarks,,"(26.2303, 78.1689)",,,,,,,,"(26.2303, 78.1689)"
6,,26.221389,78.001667,Tighra Dam ,,wikivoyage,red, , ,See,"A great place for an outing, boating and other water facilities are available. ","(26.221389, 78.001667)",,,,,,,,"(26.221389, 78.001667)"
2,,26.207364,78.172506,Moti Mahal ,,wikivoyage,red, , ,See,,"(26.207364, 78.172506)",,,,,,,,"(26.207364, 78.172506)"
0,,23.8511117,79.9289742, Kheda Pati,,wikivoyage,red, , ,See,,"(23.8511117, 79.9289742)",,,,,,,,"(23.8511117, 79.9289742)"
3,,50.786511000000004,-1.369108928180049,Italian Garden ,,wikivoyage,red, , ,See,"an ideal picnic spot for the whole family or a group of school children. The garden adjacent to the palace grounds is built in Italian style. Beautiful fountains, cascading waters make this is a beautiful place. The lush green gardens make the place even more beautiful. It is very closely connected to the Moti Mahal, the former Palace of Scindia dynasty which is now turned into a Government office. The garden is also connected with the Baiji Ki Tal which is a garden along with a beautiful pool. The major attractions here are the boating area and stone fountains add to the beauty and splendor of this park.","(50.786511000000004, -1.369108928180049)",,,,,,,,"(50.786511000000004, -1.369108928180049)"
2,,26.209275849999997,78.16786098735881,Gwalior Zoo ,,wikivoyage,red, , ,See,"This is one of many of the beautiful zoological parks of Madhya Pradesh. This park includes a white tiger, golden pheasants, sambhar, bison, and many other animals.","(26.209275849999997, 78.16786098735881)",,,,,,,,"(26.209275849999997, 78.16786098735881)"
1,,26.2341237,78.1705511,Gujari Mahal Archaeological Museum ,,wikivoyage,red, ,http://archaeology.mp.gov.in/en-us/Museums/State-Level-Museums/Gujri-Mahal-Museum-Gwalior ,See,"The museum has a diverse range of exhibits, including sculptures made from terracotta, bronze and stone, paintings, inscriptions, weapons and other excavated material from the Sunga, Gupta and Pratihara dynasties.","(26.2341237, 78.1705511)",,,,,,,,"(26.2341237, 78.1705511)"
0,,26.2162438,78.1826037,Gwalior Junction railway station ,,wikivoyage,red, , ,Get in_By train,,"(26.2162438, 78.1826037)",,,,,,,,"(26.2162438, 78.1826037)"
0,,26.293333,78.227778,Gwalior Airport ,,wikivoyage,red, , ,Get in_By plane,"One of four airports in the region. It is also the site of an Indian Air Force Base. Gwalior airport has some scheduled domestic services from New Delhi, Mumbai, Ahmadabad, Bangalore, Kolkata, Hyderabad, Jammu and Indore on daily basis.","(26.293333, 78.227778)",,,,,,,,"(26.293333, 78.227778)"
0,,26.2125,78.1775,Gwalior,,S,orange,,,big city,,,http://www.wikidata.org/entity/Q158467,https://de.wikipedia.org/wiki/Gwalior,https://en.wikipedia.org/wiki/Gwalior,Point(78.1775 26.2125),2.233,86.0,http://www.wikidata.org/entity/Q1549591,"('26.2125', '78.1775')"
2,,26.2303,78.1689,Gwalior Fort,,A,green,,,fortress,,,http://www.wikidata.org/entity/Q2487545,,https://en.wikipedia.org/wiki/Gwalior_Fort,Point(78.1689 26.2303),3.171,19.0,http://www.wikidata.org/entity/Q57831,"('26.2303', '78.1689')"
3,,26.22,78.17,Madhya Bharat,,A,green,,,state of India,,,http://www.wikidata.org/entity/Q1308627,https://de.wikipedia.org/wiki/Madhya_Bharat,https://en.wikipedia.org/wiki/Madhya_Bharat,Point(78.17 26.22),2.205,17.0,http://www.wikidata.org/entity/Q12443800,"('26.22', '78.17')"
4,,26.293333333333,78.227777777778,Gwalior Airport,,A,green,,,airport,,,http://www.wikidata.org/entity/Q2247561,https://de.wikipedia.org/wiki/Flughafen_Gwalior,https://en.wikipedia.org/wiki/Gwalior_Airport,Point(78.227777777 26.293333333),12.189,15.0,http://www.wikidata.org/entity/Q1248784,"('26.293333333333', '78.227777777778')"
