item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel
http://www.wikidata.org/entity/Q106725924,,"https://en.wikipedia.org/wiki/Beli,_Lucknow",Point(81.074715 26.753738),16.774,26.753738,81.074715,1,http://www.wikidata.org/entity/Q56061,"Beli, Lucknow",administrative territorial entity
http://www.wikidata.org/entity/Q106726576,,"https://en.wikipedia.org/wiki/Bijnaur,_Lucknow",Point(80.904183 26.74042),11.273,26.74042,80.904183,1,http://www.wikidata.org/entity/Q56061,"Bijnaur, Lucknow",administrative territorial entity
http://www.wikidata.org/entity/Q106770246,,https://en.wikipedia.org/wiki/Dadupur,Point(80.817116 26.689262),20.246,26.689262,80.817116,1,http://www.wikidata.org/entity/Q56061,Dadupur,administrative territorial entity
http://www.wikidata.org/entity/Q106770248,,https://en.wikipedia.org/wiki/Ramchaura,Point(80.816521 26.705651),18.822,26.705651,80.816521,1,http://www.wikidata.org/entity/Q56061,Ramchaura,administrative territorial entity
http://www.wikidata.org/entity/Q106770425,,https://en.wikipedia.org/wiki/Piparsand,Point(80.808945 26.746168),16.125,26.746168,80.808945,1,http://www.wikidata.org/entity/Q56061,Piparsand,administrative territorial entity
http://www.wikidata.org/entity/Q107586799,,,Point(80.9 26.8),5.453,26.8,80.9,1,http://www.wikidata.org/entity/Q57178953,Lucknow Cantonment,cantonment town
http://www.wikidata.org/entity/Q107587997,,,Point(80.966666666 26.8),5.298,26.8,80.966666666667,1,http://www.wikidata.org/entity/Q486972,Q107587997,human settlement
http://www.wikidata.org/entity/Q111952355,,https://en.wikipedia.org/wiki/History_of_the_Uttar_Pradesh_Legislative_Assembly,Point(80.944166666 26.843611111),1.13,26.843611111111,80.944166666667,1,http://www.wikidata.org/entity/Q17524420,History of the Uttar Pradesh Legislative Assembly,aspect of history
http://www.wikidata.org/entity/Q111982544,,"https://en.wikipedia.org/wiki/Seth_M.R._Jaipuria_School,_Lucknow",Point(81.010277777 26.851388888),7.652,26.851388888889,81.010277777778,1,http://www.wikidata.org/entity/Q3914,"Seth M.R. Jaipuria School, Lucknow",school
http://www.wikidata.org/entity/Q117848808,,,Point(80.903347 26.815715),3.976,26.815715,80.903347,1,http://www.wikidata.org/entity/Q32815,"Shahi Masjid, Alambagh",mosque
http://www.wikidata.org/entity/Q117849055,,,Point(80.902914876 26.813909839),4.137,26.813909839535,80.902914876615,1,http://www.wikidata.org/entity/Q53060,Alambagh Palace Gate,gate
http://www.wikidata.org/entity/Q124662325,,,Point(80.916093 26.8725785),4.251,26.8725785,80.916093,1,http://www.wikidata.org/entity/Q537127,Hardinge Bridge,road bridge
http://www.wikidata.org/entity/Q30591439,,https://en.wikipedia.org/wiki/Kakori_railway_station,Point(80.79835 26.885454),14.504,26.885454,80.79835,1,http://www.wikidata.org/entity/Q22808404,Kakori railway station,station located on surface
http://www.wikidata.org/entity/Q30591439,,https://en.wikipedia.org/wiki/Kakori_railway_station,Point(80.79835 26.885454),14.504,26.885454,80.79835,1,http://www.wikidata.org/entity/Q55488,Kakori railway station,railway station
http://www.wikidata.org/entity/Q32444794,,,Point(80.988055555 26.587777777),28.335,26.587777777778,80.988055555556,1,http://www.wikidata.org/entity/Q4022,Bank Nadi,river
http://www.wikidata.org/entity/Q32449511,,,Point(80.889444444 26.598611111),27.004,26.598611111111,80.889444444444,1,http://www.wikidata.org/entity/Q4022,Barer Nadi,river
http://www.wikidata.org/entity/Q48733847,,https://en.wikipedia.org/wiki/Department_of_Housing_and_Urban_Planning,Point(80.944446 26.8404943),1.012,26.8404943,80.944446,1,http://www.wikidata.org/entity/Q327333,Department of Housing and Urban Planning,government agency
http://www.wikidata.org/entity/Q48734328,,https://en.wikipedia.org/wiki/Department_of_Infrastructure_and_Industrial_Development,Point(80.943685 26.838992),0.907,26.838992,80.943685,1,http://www.wikidata.org/entity/Q327333,Department of Infrastructure and Industrial Development,government agency
http://www.wikidata.org/entity/Q49317204,,,Point(81.061388888 26.775833333),14.362,26.775833333333,81.061388888889,1,http://www.wikidata.org/entity/Q10313934,Q49317204,intermittent lake
