item,itemLabel,lat,lon,location,distance,sitelinks,thingLabel,thing,articleEN,articleDE
http://www.wikidata.org/entity/Q16841046,Greenwood High International School,12.9005,77.7492,Point(77.7492 12.9005),23.188,2,high school,http://www.wikidata.org/entity/Q9826,https://en.wikipedia.org/wiki/Greenwood_High_International_School,
http://www.wikidata.org/entity/Q120142665,Bommasandra metro station,12.81933,77.68834,Point(77.68834 12.81933),23.404,1,metro station,http://www.wikidata.org/entity/Q928830,https://en.wikipedia.org/wiki/Bommasandra_metro_station,
http://www.wikidata.org/entity/Q126203667,Nimbekaipura,13.0562815,77.7553715,Point(77.7553715 13.0562815),23.411,1,administrative territorial entity,http://www.wikidata.org/entity/Q56061,https://en.wikipedia.org/wiki/Nimbekaipura,
http://www.wikidata.org/entity/Q16851756,"Kashi Vishweshwar Temple, Kadugodi, Bangalore",12.997222222222,77.768333333333,Point(77.768333333 12.997222222),23.412,1,Hindu temple,http://www.wikidata.org/entity/Q842402,"https://en.wikipedia.org/wiki/Kashi_Vishweshwar_Temple,_Kadugodi,_Bangalore",
http://www.wikidata.org/entity/Q861398,Bommasandra,12.82,77.69,Point(77.69 12.82),23.459,15,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Bommasandra,
http://www.wikidata.org/entity/Q34883684,Dod Jālā Kere,13.173055555556,77.647222222222,Point(77.647222222 13.173055555),23.467,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q7742329,The International School Bangalore,12.8914,77.7502,Point(77.7502 12.8914),23.706,5,school,http://www.wikidata.org/entity/Q3914,https://en.wikipedia.org/wiki/The_International_School_Bangalore,
http://www.wikidata.org/entity/Q34876865,Bairapur Kere,13.194722222222,77.521944444444,Point(77.521944444 13.194722222),23.762,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q6733400,Maharishi Institute of Management,12.8198597,77.4090165,Point(77.4090165 12.8198597),23.92,1,college,http://www.wikidata.org/entity/Q189004,https://en.wikipedia.org/wiki/Maharishi_Institute_of_Management,
http://www.wikidata.org/entity/Q6733400,Maharishi Institute of Management,12.8198597,77.4090165,Point(77.4090165 12.8198597),23.92,1,university,http://www.wikidata.org/entity/Q3918,https://en.wikipedia.org/wiki/Maharishi_Institute_of_Management,
http://www.wikidata.org/entity/Q6963185,Nandanavana,12.7751,77.613,Point(77.613 12.7751),24.036,1,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Nandanavana,
http://www.wikidata.org/entity/Q34893555,Kakolu Kere,13.196944444444,77.514166666667,Point(77.514166666 13.196944444),24.138,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q121367020,Arakere,13.2001117,77.5387874,Point(77.5387874 13.2001117),24.173,1,village in India,http://www.wikidata.org/entity/Q56436498,,
http://www.wikidata.org/entity/Q7241777,Prestige Golfshire,13.16,77.42,Point(77.42 13.16),24.36,1,golf club,http://www.wikidata.org/entity/Q2022036,https://en.wikipedia.org/wiki/Prestige_Golfshire,
http://www.wikidata.org/entity/Q24944803,Yentaganahalli,13.06194444,77.34222222,Point(77.34222222 13.06194444),24.43,2,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Yentaganahalli,
http://www.wikidata.org/entity/Q4836708,BTL Institute of Technology,12.80996111,77.693425,Point(77.693425 12.80996111),24.562,1,engineering school,http://www.wikidata.org/entity/Q1663017,https://en.wikipedia.org/wiki/BTL_Institute_of_Technology,
http://www.wikidata.org/entity/Q12435508,Narayana Hrudayalaya,12.809684385659,77.69530279577,Point(77.695302795 12.809684385),24.713,5,hospital,http://www.wikidata.org/entity/Q16917,https://en.wikipedia.org/wiki/Narayana_Health,
http://www.wikidata.org/entity/Q5291271,"Dommasandra, Bangalore Urban",12.878069444444,77.754280555556,Point(77.754280555 12.878069444),24.77,5,village in India,http://www.wikidata.org/entity/Q56436498,"https://en.wikipedia.org/wiki/Dommasandra,_Bangalore_Urban",
http://www.wikidata.org/entity/Q123965171,Doddajala metro station,13.1886,77.64487,Point(77.64487 13.1886),24.93,1,metro station,http://www.wikidata.org/entity/Q928830,https://en.wikipedia.org/wiki/Doddajala_metro_station,
http://www.wikidata.org/entity/Q7504111,Shringarpur,13.1,77.75,Point(77.75 13.1),25.01,2,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Shringarpur,
http://www.wikidata.org/entity/Q34895766,Koltūr Kere,13.209722222222,77.535555555556,Point(77.535555555 13.209722222),25.263,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q34890713,Hoskote Tank,13.074444444444,77.766944444444,Point(77.766944444 13.074444444),25.329,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q6996213,Neriga,12.91666667,77.78333333,Point(77.78333333 12.91666667),26.058,3,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Neriga,
http://www.wikidata.org/entity/Q34878412,Bondakodigenhalli Kere,13.1775,77.6875,Point(77.6875 13.1775),26.079,1,reservoir,http://www.wikidata.org/entity/Q131681,,
