,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,item,articleDE,location,distance,sitelinks,thing,articleEN,to_drop_key
204,https://www.atlasobscura.com/places/gehry-buildings-dusseldorf-harbor,51.216605,6.760193,"
The Gehry Buildings of Dusseldorf Harbor
","
Twisted buildings adorn the banks of the Rhine river.
",atlas_obscura,gold,,,,,,,,,,,,"(51.216605, 6.760193)"
332,https://www.atlasobscura.com/places/c-und-o-vogt-institue-brain-research-collection,51.193819,6.792072,"
C. und O. Vogt Institue of Brain Research Collection
","
A varied collection of brains in alcohol.
",atlas_obscura,gold,,,,,,,,,,,,"(51.193819, 6.792072)"
353,https://www.atlasobscura.com/places/museumsinsel-hombroich,51.147773,6.659504,"
Museumsinsel Hombroich
","
Be it nature, art, or abandoned military architecture this eclectic German ""museum"" has you covered.
",atlas_obscura,gold,,,,,,,,,,,,"(51.147773, 6.659504)"
358,https://www.atlasobscura.com/places/rheinturm,51.217942,6.76168,"
Rheinturm
","
This futuristic German television spire is actually the world's largest digital clock.
1276,,51.165623,6.933741,Q125470401,,C,yellow,,,architectural structure,,http://www.wikidata.org/entity/Q125470401,https://de.wikipedia.org/wiki/Haus_der_Jugend_(Hilden),Point(6.933741 51.165623),12.826,2.0,http://www.wikidata.org/entity/Q811979,,"('51.165623', '6.933741')"
1277,,51.208278894259,6.6901858839791,Neusser Lagerhaus,,C,yellow,,,building complex,,http://www.wikidata.org/entity/Q125691789,https://de.wikipedia.org/wiki/Neusser_Lagerhaus,Point(6.690185883 51.208278894),6.293,2.0,http://www.wikidata.org/entity/Q1497364,,"('51.208278894259', '6.6901858839791')"
1278,,51.214364,6.749479,Q126595475,,C,yellow,,,architectural structure,,http://www.wikidata.org/entity/Q126595475,https://de.wikipedia.org/wiki/Solitaire_(D%C3%BCsseldorf),Point(6.749479 51.214364),2.236,2.0,http://www.wikidata.org/entity/Q811979,,"('51.214364', '6.749479')"
1280,,51.222908,6.777257,Q126903128,,C,yellow,,,architectural structure,,http://www.wikidata.org/entity/Q126903128,https://de.wikipedia.org/wiki/Rheinhof,Point(6.777257 51.222908),0.285,2.0,http://www.wikidata.org/entity/Q811979,,"('51.222908', '6.777257')"
1281,,51.22913,6.781943,Q127384989,,C,yellow,,,group of sculptures,,http://www.wikidata.org/entity/Q127384989,https://de.wikipedia.org/wiki/Jr%C3%B6ne_Jong,Point(6.781943 51.22913),0.571,2.0,http://www.wikidata.org/entity/Q2293362,,"('51.22913', '6.781943')"
1282,,51.2224,6.7713,Mariensäule,,C,yellow,,,architectural structure,,http://www.wikidata.org/entity/Q1897955,https://de.wikipedia.org/wiki/Mariens%C3%A4ule_(D%C3%BCsseldorf),Point(6.7713 51.2224),0.483,2.0,http://www.wikidata.org/entity/Q811979,,"('51.2224', '6.7713')"
1284,,51.2116,6.76374,Martinskirche,,C,yellow,,,church building,,http://www.wikidata.org/entity/Q1905676,https://de.wikipedia.org/wiki/Martinskirche_(D%C3%BCsseldorf-Unterbilk),Point(6.76374 51.2116),1.767,2.0,http://www.wikidata.org/entity/Q16970,,"('51.2116', '6.76374')"
1285,,51.1909,6.77256,Mater Dolorosa,,C,yellow,,,parish church,,http://www.wikidata.org/entity/Q1908197,https://de.wikipedia.org/wiki/Mater_Dolorosa_(D%C3%BCsseldorf),Point(6.77256 51.1909),3.845,2.0,http://www.wikidata.org/entity/Q317557,,"('51.1909', '6.77256')"
1286,,51.2349,6.80748,Matthäikirche (Düsseldorf-Düsseltal),,C,yellow,,,church building,,http://www.wikidata.org/entity/Q1910484,https://de.wikipedia.org/wiki/Matth%C3%A4ikirche_(D%C3%BCsseldorf-D%C3%BCsseltal),Point(6.80748 51.2349),2.413,2.0,http://www.wikidata.org/entity/Q16970,,"('51.2349', '6.80748')"
1287,,51.254663495796,6.6797304153442,Q61440338,,C,yellow,,,chapel,,http://www.wikidata.org/entity/Q61440338,https://de.wikipedia.org/wiki/Kapellchen_(B%C3%BCderich),Point(6.679730415 51.254663495),7.469,2.0,http://www.wikidata.org/entity/Q108325,,"('51.254663495796', '6.6797304153442')"
1289,,51.115178055556,6.8650388888889,Rheinaue Zons-Rheinfeld und Altrheinschlinge Zons,,C,yellow,,,Naturschutzgebiet,,http://www.wikidata.org/entity/Q61570427,https://de.wikipedia.org/wiki/Rheinaue_Zons-Rheinfeld_und_Altrheinschlinge_Zons,Point(6.865038888 51.115178055),13.728,2.0,http://www.wikidata.org/entity/Q759421,,"('51.115178055556', '6.8650388888889')"
1290,,51.250193055556,6.8942088888889,Rotthäuser Bachtal,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q61598619,https://de.wikipedia.org/wiki/Naturschutzgebiet_Rotth%C3%A4user_Bachtal,Point(6.894208888 51.250193055),8.658,2.0,http://www.wikidata.org/entity/Q473972,,"('51.250193055556', '6.8942088888889')"
1292,,51.245681944444,6.9043838888889,Hubbelrather Bachtal,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q61598622,https://de.wikipedia.org/wiki/Naturschutzgebiet_Hubbelrather_Bachtal,Point(6.904383888 51.245681944),9.197,2.0,http://www.wikidata.org/entity/Q473972,,"('51.245681944444', '6.9043838888889')"
1294,,51.341661944444,6.8047980555556,Rahmer Benden,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q61598624,https://de.wikipedia.org/wiki/Naturschutzgebiet_Rahmer_Benden,Point(6.804798055 51.341661944),13.078,2.0,http://www.wikidata.org/entity/Q473972,,"('51.341661944444', '6.8047980555556')"
1296,,51.353158055556,6.8065380555556,"Waldgebiet ""Grindsmark""",,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q61737565,https://de.wikipedia.org/wiki/Waldgebiet_Grindsmark,Point(6.806538055 51.353158055),14.36,2.0,http://www.wikidata.org/entity/Q473972,,"('51.353158055556', '6.8065380555556')"
1298,,51.342506111111,6.8635980555556,Hummelsbach,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065430,https://de.wikipedia.org/wiki/Hummelsbach_(Naturschutzgebiet),Point(6.863598055 51.342506111),14.366,2.0,http://www.wikidata.org/entity/Q473972,,"('51.342506111111', '6.8635980555556')"
1300,,51.314696944444,6.8668030555556,Baulofsbruch,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065428,https://de.wikipedia.org/wiki/Baulofsbruch,Point(6.866803055 51.314696944),11.756,2.0,http://www.wikidata.org/entity/Q473972,,"('51.314696944444', '6.8668030555556')"
1302,,51.233716111111,6.8846530555556,Morper Bachtal,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065429,https://de.wikipedia.org/wiki/Morper_Bachtal,Point(6.884653055 51.233716111),7.6,2.0,http://www.wikidata.org/entity/Q473972,,"('51.233716111111', '6.8846530555556')"
1304,,51.284828888889,6.9138061111111,Schwarzbachtal bei Götzenberg,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065434,https://de.wikipedia.org/wiki/Schwarzbachtal_bei_G%C3%B6tzenberg,Point(6.913806111 51.284828888),11.628,2.0,http://www.wikidata.org/entity/Q473972,,"('51.284828888889', '6.9138061111111')"
1306,,51.192633888889,6.97544,Spörkelnbruch,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065435,https://de.wikipedia.org/wiki/Naturschutzgebiet_Sp%C3%B6rkelnbruch_(Haan),Point(6.97544 51.192633888),14.341,2.0,http://www.wikidata.org/entity/Q473972,,"('51.192633888889', '6.97544')"
1308,,51.145543888889,6.9284138888889,Oerkhaussee,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065438,https://de.wikipedia.org/wiki/Oerkhaussee,Point(6.928413888 51.145543888),13.828,2.0,http://www.wikidata.org/entity/Q473972,,"('51.145543888889', '6.9284138888889')"
1310,,51.211235,6.9363288888889,Schlackenhalde / Bruchhauser Feuchtwiesen in Erkrath,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065436,https://de.wikipedia.org/wiki/Schlackenhalde_/_Bruchhauser_Feuchtwiesen_in_Erkrath,Point(6.936328888 51.211235),11.255,2.0,http://www.wikidata.org/entity/Q473972,,"('51.211235', '6.9363288888889')"
1312,,51.124476111111,6.86621,Am Kirberger Loch,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065443,https://de.wikipedia.org/wiki/Am_Kirberger_Loch,Point(6.86621 51.124476111),12.853,2.0,http://www.wikidata.org/entity/Q473972,,"('51.124476111111', '6.86621')"
1314,,51.3390574,6.8561876,Ratinger Waldsee,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065446,https://de.wikipedia.org/wiki/Ratinger_Waldsee,Point(6.8561876 51.3390574),13.804,2.0,http://www.wikidata.org/entity/Q473972,,"('51.3390574', '6.8561876')"
1316,,51.344225,6.8119769444444,Rahmer Benden / Scheiderbruch,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065445,https://de.wikipedia.org/wiki/Rahmer_Benden_/_Scheiderbruch,Point(6.811976944 51.344225),13.443,2.0,http://www.wikidata.org/entity/Q473972,,"('51.344225', '6.8119769444444')"
1318,,51.21783,6.8838388888889,Düsselaue bei Gödinghoven,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065451,https://de.wikipedia.org/wiki/D%C3%BCsselaue_bei_G%C3%B6dinghoven,Point(6.883838888 51.21783),7.535,2.0,http://www.wikidata.org/entity/Q473972,,"('51.21783', '6.8838388888889')"
1320,,51.179418055556,6.9513519444444,Hildener Stadtwald-Bereich Biesenbach,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065449,"https://de.wikipedia.org/wiki/Hildener_Stadtwald,_Bereich_Biesenbach",Point(6.951351944 51.179418055),13.223,2.0,http://www.wikidata.org/entity/Q473972,,"('51.179418055556', '6.9513519444444')"
1322,,51.244223055556,6.95429,Laubachtal,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065454,https://de.wikipedia.org/wiki/Laubachtal,Point(6.95429 51.244223055),12.566,2.0,http://www.wikidata.org/entity/Q473972,,"('51.244223055556', '6.95429')"
1324,,51.23776,6.9324619444444,Stinderbachtal,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065455,https://de.wikipedia.org/wiki/Stinderbachtal,Point(6.932461944 51.23776),10.958,2.0,http://www.wikidata.org/entity/Q473972,,"('51.23776', '6.9324619444444')"
1326,,51.216536111111,6.9519619444444,Tongrube Majefski,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065453,https://de.wikipedia.org/wiki/Tongrube_Majefski,Point(6.951961944 51.216536111),12.272,2.0,http://www.wikidata.org/entity/Q473972,,"('51.216536111111', '6.9519619444444')"
1328,,51.196476111111,6.9822919444444,Hühnerbachtal,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065458,https://de.wikipedia.org/wiki/H%C3%BChnerbachtal,Point(6.982291944 51.196476111),14.704,2.0,http://www.wikidata.org/entity/Q473972,,"('51.196476111111', '6.9822919444444')"
1330,,51.203806111111,6.9869,Mahnerter Bachtal,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065457,https://de.wikipedia.org/wiki/Mahnerter_Bachtal,Point(6.9869 51.203806111),14.863,2.0,http://www.wikidata.org/entity/Q473972,,"('51.203806111111', '6.9869')"
1332,,51.324648888889,6.8108038888889,Überanger Mark - Hinkesforst,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065462,https://de.wikipedia.org/wiki/%C3%9Cberanger_Mark_%E2%80%93_Hinkesforst,Point(6.810803888 51.324648888),11.293,2.0,http://www.wikidata.org/entity/Q473972,,"('51.324648888889', '6.8108038888889')"
1334,,51.123383888889,6.871465,Rheinufer- Urdenbacher Altrhein bei Baumberg,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065460,https://de.wikipedia.org/wiki/Rheinufer_%E2%80%93_Urdenbacher_Altrhein_bei_Baumberg,Point(6.871465 51.123383888),13.14,2.0,http://www.wikidata.org/entity/Q473972,,"('51.123383888889', '6.871465')"
1336,,51.279511111111,6.8717788888889,Schönheitsbachtal und Mauerbachtal,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065466,https://de.wikipedia.org/wiki/Sch%C3%B6nheitsbachtal_und_Mauerbachtal,Point(6.871778888 51.279511111),8.963,2.0,http://www.wikidata.org/entity/Q473972,,"('51.279511111111', '6.8717788888889')"
1338,,51.190383888889,6.974455,Spörkelnbruch,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62065467,https://de.wikipedia.org/wiki/Naturschutzgebiet_Sp%C3%B6rkelnbruch_(Hilden),Point(6.974455 51.190383888),14.341,2.0,http://www.wikidata.org/entity/Q473972,,"('51.190383888889', '6.974455')"
1340,,51.236458888889,6.8983811111111,Hubbelrather Bachtal,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q62070282,https://de.wikipedia.org/wiki/Hubbelrather_Bachtal,Point(6.898381111 51.236458888),8.587,2.0,http://www.wikidata.org/entity/Q473972,,"('51.236458888889', '6.8983811111111')"
1342,,51.20444,6.79889,Dutch memorial cemetery Düsseldorf,,C,yellow,,,war memorial,,http://www.wikidata.org/entity/Q1924580,,Point(6.79889 51.20444),2.812,2.0,http://www.wikidata.org/entity/Q575759,,"('51.20444', '6.79889')"
1350,,51.16537,6.86414,Ansbacher Strasse Benrath,,C,yellow,,,street,,http://www.wikidata.org/entity/Q4066919,,Point(6.86414 51.16537),9.056,2.0,http://www.wikidata.org/entity/Q79007,,"('51.16537', '6.86414')"
1351,,51.165252777778,6.8709166666667,Weststrasse 13 Benrath,,C,yellow,,,street,,http://www.wikidata.org/entity/Q4109666,,Point(6.870916666 51.165252777),9.39,2.0,http://www.wikidata.org/entity/Q79007,,"('51.165252777778', '6.8709166666667')"
1352,,51.229633333333,6.7724222222222,Ursulinengasse,,C,yellow,,,street,,http://www.wikidata.org/entity/Q4477300,,Point(6.772422222 51.229633333),0.543,2.0,http://www.wikidata.org/entity/Q79007,,"('51.229633333333', '6.7724222222222')"
1353,,51.243264,6.684503,Niederdonk Chapel,,C,yellow,,,chapel,,http://www.wikidata.org/entity/Q4507606,,Point(6.684503 51.243264),6.693,2.0,http://www.wikidata.org/entity/Q108325,,"('51.243264', '6.684503')"
1354,,51.24778,6.764861,Am Binnenwasser 3,,C,yellow,,,residential building,,http://www.wikidata.org/entity/Q28478467,,Point(6.764861 51.24778),2.613,2.0,http://www.wikidata.org/entity/Q11755880,,"('51.24778', '6.764861')"
1355,,51.302083333333,6.7343055555556,Am Mühlenturm 8,,C,yellow,,,building,,http://www.wikidata.org/entity/Q28671319,,Point(6.734305555 51.302083333),9.013,2.0,http://www.wikidata.org/entity/Q41176,,"('51.302083333333', '6.7343055555556')"
1356,,51.30061,6.73933,Klemensplatz station,,C,yellow,,,tram stop,,http://www.wikidata.org/entity/Q28671323,,Point(6.73933 51.30061),8.749,2.0,http://www.wikidata.org/entity/Q2175765,,"('51.30061', '6.73933')"
1357,,51.2895444,6.7389306,Alte Landstraße,,C,yellow,,,tram stop,,http://www.wikidata.org/entity/Q30897321,,Point(6.7389306 51.2895444),7.592,2.0,http://www.wikidata.org/entity/Q2175765,,"('51.2895444', '6.7389306')"
1358,,51.220833333333,6.7180555555556,Ölgangsinsel,,C,yellow,,,protected area,,http://www.wikidata.org/entity/Q32174375,,Point(6.718055555 51.220833333),4.089,2.0,http://www.wikidata.org/entity/Q473972,,"('51.220833333333', '6.7180555555556')"
1360,,51.222305555556,6.77675,Consulate-General of Japan in Düsseldorf,,C,yellow,,,consulate general,,http://www.wikidata.org/entity/Q49755279,,Point(6.77675 51.222305555),0.346,2.0,http://www.wikidata.org/entity/Q372690,,"('51.222305555556', '6.77675')"
1361,,51.331451944444,6.7062161111111,Die Spey,,C,yellow,,,site of community importance,,http://www.wikidata.org/entity/Q60689658,,Point(6.706216111 51.331451944),12.76,2.0,http://www.wikidata.org/entity/Q796174,,"('51.331451944444', '6.7062161111111')"
1364,,51.182818888889,6.9651411111111,Hilden - Spörkelnbruch,,C,yellow,,,site of community importance,,http://www.wikidata.org/entity/Q60689801,,Point(6.965141111 51.182818888),13.981,2.0,http://www.wikidata.org/entity/Q796174,,"('51.182818888889', '6.9651411111111')"
1367,,51.277441111111,6.68555,Ilvericher Altrheinschlinge,,C,yellow,,,site of community importance,,http://www.wikidata.org/entity/Q60689821,,Point(6.68555 51.277441111),8.566,2.0,http://www.wikidata.org/entity/Q796174,,"('51.277441111111', '6.68555')"
1370,,51.321286111111,6.6533319444444,"Latumer Bruch mit Buersbach, Stadtgräben und Wasserwerk",,C,yellow,,,site of community importance,,http://www.wikidata.org/entity/Q60689876,,Point(6.653331944 51.321286111),13.669,2.0,http://www.wikidata.org/entity/Q796174,,"('51.321286111111', '6.6533319444444')"
1372,,51.175216944444,6.7741588888889,NSG Uedesheimer Rheinbogen,,C,yellow,,,site of community importance,,http://www.wikidata.org/entity/Q60689949,,Point(6.774158888 51.175216944),5.582,2.0,http://www.wikidata.org/entity/Q796174,,"('51.175216944444', '6.7741588888889')"
1374,,51.249948055556,6.6484080555556,Rhein-Fischschutzzonen zwischen Emmerich und Bad Honnef,,C,yellow,,,site of community importance,,http://www.wikidata.org/entity/Q60689972,,Point(6.648408055 51.249948055),9.313,2.0,http://www.wikidata.org/entity/Q796174,,"('51.249948055556', '6.6484080555556')"
