,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
216,http://www.wikidata.org/entity/Q26810861,,,Point(81.064166666 26.789444444),13.949,26.789444444444,81.064166666667,1,http://www.wikidata.org/entity/Q30198,Q26810861,marsh,D,blue
217,http://www.wikidata.org/entity/Q26810866,,,Point(81.13 26.923055555),21.559,26.923055555556,81.13,1,http://www.wikidata.org/entity/Q30198,Q26810866,marsh,D,blue
218,http://www.wikidata.org/entity/Q26810867,,,Point(81.111111111 26.995),24.71,26.995,81.111111111111,1,http://www.wikidata.org/entity/Q30198,Q26810867,marsh,D,blue
219,http://www.wikidata.org/entity/Q26810864,,,Point(81.049444444 26.831111111),11.421,26.831111111111,81.049444444444,1,http://www.wikidata.org/entity/Q30198,Q26810864,marsh,D,blue
220,http://www.wikidata.org/entity/Q26810865,,,Point(81.031666666 26.853888888),9.788,26.853888888889,81.031666666667,1,http://www.wikidata.org/entity/Q30198,Q26810865,marsh,D,blue
221,http://www.wikidata.org/entity/Q26810870,,,Point(81.012222222 26.998611111),19.436,26.998611111111,81.012222222222,1,http://www.wikidata.org/entity/Q30198,Q26810870,marsh,D,blue
222,http://www.wikidata.org/entity/Q26810868,,,Point(81.050555555 26.983888888),19.873,26.983888888889,81.050555555556,1,http://www.wikidata.org/entity/Q30198,Q26810868,marsh,D,blue
223,http://www.wikidata.org/entity/Q26810869,,,Point(81.025555555 26.972777777),17.481,26.972777777778,81.025555555556,1,http://www.wikidata.org/entity/Q30198,Q26810869,marsh,D,blue
224,http://www.wikidata.org/entity/Q26811422,,,Point(80.991111111 27.046111111),23.797,27.046111111111,80.991111111111,1,http://www.wikidata.org/entity/Q55463449,Q26811422,intermittent wetland,D,blue
225,http://www.wikidata.org/entity/Q26811438,,,Point(80.865555555 27.066388888),26.29,27.066388888889,80.865555555556,1,http://www.wikidata.org/entity/Q55463449,Q26811438,intermittent wetland,D,blue
226,http://www.wikidata.org/entity/Q26811436,,,Point(80.945833333 27.074722222),26.333,27.074722222222,80.945833333333,1,http://www.wikidata.org/entity/Q55463449,Q26811436,intermittent wetland,D,blue
227,http://www.wikidata.org/entity/Q26811442,,,Point(80.776388888 27.026111111),26.134,27.026111111111,80.776388888889,1,http://www.wikidata.org/entity/Q55463449,Q26811442,intermittent wetland,D,blue
228,http://www.wikidata.org/entity/Q26811440,,,Point(80.916111111 27.072222222),26.096,27.072222222222,80.916111111111,1,http://www.wikidata.org/entity/Q55463449,Q26811440,intermittent wetland,D,blue
