,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,thing,articleEN,to_drop_key
3277,,50.684408,7.152829,Wasserlauf,,D,blue,,,fountain,,Point(7.152829 50.684408),6.798,http://www.wikidata.org/entity/Q60442390,1.0,,,http://www.wikidata.org/entity/Q483453,,"('50.684408', '7.152829')"
3278,,50.750822,7.101504,"Holzkirche, Legionsweg 16 (Bonn)",,D,blue,,,church building,,Point(7.101504 50.750822),1.666,http://www.wikidata.org/entity/Q60461839,1.0,,,http://www.wikidata.org/entity/Q16970,,"('50.750822', '7.101504')"
3279,,50.707163,7.051712,Vogelnest,,D,blue,,,sculpture,,Point(7.051712 50.707163),4.695,http://www.wikidata.org/entity/Q60579049,1.0,,,http://www.wikidata.org/entity/Q860861,,"('50.707163', '7.051712')"
3280,,50.69786,7.12676,Ziegendenkmal,,D,blue,,,sculpture,,Point(7.12676 50.69786),4.607,http://www.wikidata.org/entity/Q60594204,1.0,,,http://www.wikidata.org/entity/Q860861,,"('50.69786', '7.12676')"
3281,,50.699621,7.091868,Begegnungen,,D,blue,,,sculpture,,Point(7.091868 50.699621),4.076,http://www.wikidata.org/entity/Q60601119,1.0,,,http://www.wikidata.org/entity/Q860861,,"('50.699621', '7.091868')"
3282,,50.710164,7.051952,Auffliegender Vogelschwarm,,D,blue,,,sculpture,,Point(7.051952 50.710164),4.462,http://www.wikidata.org/entity/Q60603597,1.0,,,http://www.wikidata.org/entity/Q860861,,"('50.710164', '7.051952')"
3283,,50.685212,7.039051,Probstforst,,D,blue,,,Naturschutzgebiet,,Point(7.039051 50.685212),7.108,http://www.wikidata.org/entity/Q60649465,1.0,,,http://www.wikidata.org/entity/Q759421,,"('50.685212', '7.039051')"
3284,,50.769265,7.065131,Milchgasserweg,,D,blue,,,street,,Point(7.065131 50.769265),4.478,http://www.wikidata.org/entity/Q60687348,1.0,,,http://www.wikidata.org/entity/Q79007,,"('50.769265', '7.065131')"
3285,,50.683733888889,7.2274988888889,Siebengebirge,,D,blue,,,site of community importance,,Point(7.227498888 50.683733888),10.646,http://www.wikidata.org/entity/Q60690033,1.0,,,http://www.wikidata.org/entity/Q796174,,"('50.683733888889', '7.2274988888889')"
3288,,50.7460397,7.1771256,Weiers Wiesen,,D,blue,,,Naturschutzgebiet,,Point(7.1771256 50.7460397),5.498,http://www.wikidata.org/entity/Q60726795,1.0,,,http://www.wikidata.org/entity/Q759421,,"('50.7460397', '7.1771256')"
3289,,50.7526305,7.1652618,Feuchte Grünlandbrachen und Mähweiden Kohlkaul,,D,blue,,,protected area,,Point(7.1652618 50.7526305),4.913,http://www.wikidata.org/entity/Q60726798,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.7526305', '7.1652618')"
3291,,50.7500937,7.180403,Nasswiesen und Bruchwald Kohlkaul,,D,blue,,,protected area,,Point(7.180403 50.7500937),5.83,http://www.wikidata.org/entity/Q60726802,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.7500937', '7.180403')"
3293,,50.7644271,7.0853286,Siegmündung,,D,blue,,,protected area,,Point(7.0853286 50.7644271),3.355,http://www.wikidata.org/entity/Q60726806,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.7644271', '7.0853286')"
3295,,50.774863055556,7.246565,Bodendeponie Stossdorf,,D,blue,,,protected area,,Point(7.246565 50.774863055),11.142,http://www.wikidata.org/entity/Q61439763,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.774863055556', '7.246565')"
3297,,50.778198888889,7.2462661111111,Abgrabungssee Stossdorf,,D,blue,,,Naturschutzgebiet,,Point(7.246266111 50.778198888),11.272,http://www.wikidata.org/entity/Q61439761,1.0,,,http://www.wikidata.org/entity/Q759421,,"('50.778198888889', '7.2462661111111')"
3298,,50.753786944444,7.2385738888889,Mintenplatz,,D,blue,,,protected area,,Point(7.238573888 50.753786944),9.906,http://www.wikidata.org/entity/Q61439766,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.753786944444', '7.2385738888889')"
3300,,50.750021111111,7.2519480555556,Ehemalige Grube - Gottessegen,,D,blue,,,protected area,,Point(7.251948055 50.750021111),10.761,http://www.wikidata.org/entity/Q61439767,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.750021111111', '7.2519480555556')"
3302,,50.772981944444,7.2449061111111,Kiesgrube - In der Stuhleiche,,D,blue,,,protected area,,Point(7.244906111 50.772981944),10.955,http://www.wikidata.org/entity/Q61439764,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.772981944444', '7.2449061111111')"
3304,,50.76396,7.2571761111111,Gewässer mit Feuchtwäldern im Geistinger Wald,,D,blue,,,protected area,,Point(7.257176111 50.76396),11.446,http://www.wikidata.org/entity/Q61439765,1.0,,,http://www.wikidata.org/entity/Q473972,,"('50.76396', '7.2571761111111')"
