,item,articleDE,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,articleEN,tier,color
53,http://www.wikidata.org/entity/Q737300,https://de.wikipedia.org/wiki/Handball-Weltmeisterschaft_der_Frauen_1965,Point(7.09972222 50.73388889),0.228,50.73388889,7.09972222,26,http://www.wikidata.org/entity/Q27020041,1965 World Women's Handball Championship,season,https://en.wikipedia.org/wiki/1965_World_Women%27s_Handball_Championship,S,orange
54,http://www.wikidata.org/entity/Q167195,https://de.wikipedia.org/wiki/Post_Tower,Point(7.130037 50.715512),3.064,50.715512,7.130037,25,http://www.wikidata.org/entity/Q1021645,Post Tower,office building,https://en.wikipedia.org/wiki/Post_Tower,S,orange
56,http://www.wikidata.org/entity/Q4236,https://de.wikipedia.org/wiki/Siebengebirge,Point(7.248333333 50.679444444),12.143,50.679444444444,7.2483333333333,24,http://www.wikidata.org/entity/Q372363,Siebengebirge,geotope,https://en.wikipedia.org/wiki/Siebengebirge,S,orange
59,http://www.wikidata.org/entity/Q277619,https://de.wikipedia.org/wiki/Handball-Europameisterschaft_der_Frauen_1994,Point(7.08399 50.7498),1.945,50.7498,7.08399,21,http://www.wikidata.org/entity/Q27020041,1994 European Women's Handball Championship,season,https://en.wikipedia.org/wiki/1994_European_Women%27s_Handball_Championship,S,orange
60,http://www.wikidata.org/entity/Q703922,https://de.wikipedia.org/wiki/Drachenfels_(Siebengebirge),Point(7.209722222 50.665277777),10.98,50.665277777778,7.2097222222222,19,http://www.wikidata.org/entity/Q8502,Drachenfels,mountain,https://en.wikipedia.org/wiki/Drachenfels_(Siebengebirge),A,green
61,http://www.wikidata.org/entity/Q686664,https://de.wikipedia.org/wiki/Bonner_M%C3%BCnster,Point(7.099789 50.733408),0.278,50.733408,7.099789,18,http://www.wikidata.org/entity/Q2977,Bonn Minster,cathedral,https://en.wikipedia.org/wiki/Bonn_Minster,A,green
62,http://www.wikidata.org/entity/Q688115,https://de.wikipedia.org/wiki/Heimerzheim,Point(6.916666666 50.716666666),13.125,50.716666666667,6.9166666666667,18,http://www.wikidata.org/entity/Q253019,Heimerzheim,Ortsteil,https://en.wikipedia.org/wiki/Heimerzheim,A,green
63,http://www.wikidata.org/entity/Q318084,https://de.wikipedia.org/wiki/Beethoven-Haus,Point(7.10139 50.7369),0.127,50.7369,7.10139,16,http://www.wikidata.org/entity/Q157031,Beethoven House,foundation,https://en.wikipedia.org/wiki/Beethoven_House,A,green
66,http://www.wikidata.org/entity/Q393161,https://de.wikipedia.org/wiki/Agger,Point(7.1744 50.8008),8.891,50.8008,7.1744,16,http://www.wikidata.org/entity/Q4022,Agger,river,https://en.wikipedia.org/wiki/Agger_(river),A,green
68,http://www.wikidata.org/entity/Q561993,https://de.wikipedia.org/wiki/Villa_Hammerschmidt,Point(7.117472 50.722672),1.883,50.722672,7.117472,15,http://www.wikidata.org/entity/Q3950,Hammerschmidt Villa,villa,https://en.wikipedia.org/wiki/Hammerschmidt_Villa,A,green
69,http://www.wikidata.org/entity/Q315089,https://de.wikipedia.org/wiki/Schloss_Drachenburg,Point(7.2063442 50.6686729),10.544,50.6686729,7.2063442,15,http://www.wikidata.org/entity/Q751876,Schloss Drachenburg,château,https://en.wikipedia.org/wiki/Schloss_Drachenburg,A,green
71,http://www.wikidata.org/entity/Q153745,https://de.wikipedia.org/wiki/Beuel,Point(7.121666666 50.734166666),1.49,50.734166666667,7.1216666666667,14,http://www.wikidata.org/entity/Q2740635,Beuel,Stadtbezirk,https://en.wikipedia.org/wiki/Beuel,A,green
72,http://www.wikidata.org/entity/Q652402,https://de.wikipedia.org/wiki/Palais_Schaumburg,Point(7.117361 50.720233),2.097,50.720233,7.117361,13,http://www.wikidata.org/entity/Q16560,Palais Schaumburg,palace,https://en.wikipedia.org/wiki/Palais_Schaumburg,A,green
73,http://www.wikidata.org/entity/Q543646,https://de.wikipedia.org/wiki/Max-Planck-Institut_f%C3%BCr_Radioastronomie,Point(7.06967 50.7302),2.27,50.7302,7.06967,13,http://www.wikidata.org/entity/Q2467461,Max Planck Institute for Radio Astronomy,academic department,https://en.wikipedia.org/wiki/Max_Planck_Institute_for_Radio_Astronomy,A,green
74,http://www.wikidata.org/entity/Q314203,https://de.wikipedia.org/wiki/Europ%C3%A4isches_Astronautenzentrum,Point(7.13170556 50.85245556),13.148,50.85245556,7.13170556,13,http://www.wikidata.org/entity/Q13226383,European Astronaut Centre,facility,https://en.wikipedia.org/wiki/European_Astronaut_Centre,A,green
75,http://www.wikidata.org/entity/Q632667,https://de.wikipedia.org/wiki/Max-Planck-Institut_f%C3%BCr_Mathematik,Point(7.098333333 50.734444444),0.226,50.734444444444,7.0983333333333,12,http://www.wikidata.org/entity/Q6019423,Max Planck Institute for Mathematics,Max Planck Institute,https://en.wikipedia.org/wiki/Max_Planck_Institute_for_Mathematics,A,green
76,http://www.wikidata.org/entity/Q27887963,https://de.wikipedia.org/wiki/UN-Klimakonferenz_in_Bonn_2017,Point(7.127497 50.718324),2.714,50.718324,7.127497,12,http://www.wikidata.org/entity/Q7888355,2017 United Nations Climate Change Conference,United Nations Climate Change conference,https://en.wikipedia.org/wiki/2017_United_Nations_Climate_Change_Conference,A,green
77,http://www.wikidata.org/entity/Q520524,https://de.wikipedia.org/wiki/Bundeszentrale_f%C3%BCr_politische_Bildung,Point(7.109291666 50.727680555),1.093,50.727680555556,7.1092916666667,12,http://www.wikidata.org/entity/Q314024,Federal Agency for Civic Education,federal agency of Germany,https://en.wikipedia.org/wiki/Federal_Agency_for_Civic_Education,A,green
80,http://www.wikidata.org/entity/Q153759,https://de.wikipedia.org/wiki/Endenich,Point(7.072777777 50.725),2.304,50.725,7.0727777777778,12,http://www.wikidata.org/entity/Q253019,Endenich,Ortsteil,https://en.wikipedia.org/wiki/Endenich,A,green
81,http://www.wikidata.org/entity/Q318859,https://de.wikipedia.org/wiki/Kunstmuseum_Bonn,Point(7.121028 50.715056),2.721,50.715056,7.121028,12,http://www.wikidata.org/entity/Q207694,Kunstmuseum Bonn,art museum,https://en.wikipedia.org/wiki/Kunstmuseum_Bonn,A,green
