,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
418,,39.741666666667,-104.95611111111,East High School,,C,yellow,,,high school,,Point(-104.956111111 39.741666666),2.473,http://www.wikidata.org/entity/Q5328588,2.0,,,"https://en.wikipedia.org/wiki/East_High_School_(Denver,_Colorado)",http://www.wikidata.org/entity/Q9826,"('39.741666666667', '-104.95611111111')"
419,,39.6913,-104.827,Ecotech Institute,,C,yellow,,,private for-profit educational institution,,Point(-104.827 39.6913),14.516,http://www.wikidata.org/entity/Q5333889,2.0,,,https://en.wikipedia.org/wiki/Ecotech_Institute,http://www.wikidata.org/entity/Q23002052,"('39.6913', '-104.827')"
420,,39.7411,-104.995,Emily Griffith Opportunity School,,C,yellow,,,public educational institution of the United States,,Point(-104.995 39.7411),0.891,http://www.wikidata.org/entity/Q5372188,2.0,,,https://en.wikipedia.org/wiki/Emily_Griffith_Technical_College,http://www.wikidata.org/entity/Q23002039,"('39.7411', '-104.995')"
421,,39.685,-104.937,Environmental and Engineering Geophysical Society,,C,yellow,,,organization,,Point(-104.937 39.685),7.289,http://www.wikidata.org/entity/Q5381189,2.0,,,https://en.wikipedia.org/wiki/Environmental_and_Engineering_Geophysical_Society,http://www.wikidata.org/entity/Q43229,"('39.685', '-104.937')"
422,,39.7378,-104.978,Episcopal Diocese of Colorado,,C,yellow,,,diocese,,Point(-104.978 39.7378),0.608,http://www.wikidata.org/entity/Q5383361,2.0,,,https://en.wikipedia.org/wiki/The_Episcopal_Church_in_Colorado,http://www.wikidata.org/entity/Q665487,"('39.7378', '-104.978')"
423,,39.746389,-104.991111,Equitable Building,,C,yellow,,,bank building,,Point(-104.991111 39.746389),0.958,http://www.wikidata.org/entity/Q5384616,2.0,,,https://en.wikipedia.org/wiki/Equitable_Building_(Denver),http://www.wikidata.org/entity/Q18761864,"('39.746389', '-104.991111')"
425,,39.738333,-104.983611,First Baptist Church of Denver,,C,yellow,,,church building,,Point(-104.983611 39.738333),0.147,http://www.wikidata.org/entity/Q5452463,2.0,,,https://en.wikipedia.org/wiki/First_Baptist_Church_of_Denver,http://www.wikidata.org/entity/Q16970,"('39.738333', '-104.983611')"
426,,39.745277777778,-104.83722222222,Fitzsimons Army Medical Center,,C,yellow,,,former hospital,,Point(-104.837222222 39.745277777),12.641,http://www.wikidata.org/entity/Q5455733,2.0,,,https://en.wikipedia.org/wiki/Fitzsimons_Army_Medical_Center,http://www.wikidata.org/entity/Q64578911,"('39.745277777778', '-104.83722222222')"
430,,39.778810737645,-104.97009444289,Forney Transportation Museum,,C,yellow,,,automobile museum,,Point(-104.970094442 39.778810737),4.578,http://www.wikidata.org/entity/Q5470379,2.0,,,https://en.wikipedia.org/wiki/Forney_Transportation_Museum,http://www.wikidata.org/entity/Q787934,"('39.778810737645', '-104.97009444289')"
438,,39.7056,-104.914,George Washington High School,,C,yellow,,,high school,,Point(-104.914 39.7056),7.121,http://www.wikidata.org/entity/Q5545973,2.0,,,https://en.wikipedia.org/wiki/George_Washington_High_School_(Colorado),http://www.wikidata.org/entity/Q9826,"('39.7056', '-104.914')"
440,,39.6576,-104.988,Gothic Theatre,,C,yellow,,,concert hall,,Point(-104.988 39.6576),9.081,http://www.wikidata.org/entity/Q5587876,2.0,,,https://en.wikipedia.org/wiki/Gothic_Theatre,http://www.wikidata.org/entity/Q1060829,"('39.6576', '-104.988')"
443,,39.758,-105.009,Highland Bridge,,C,yellow,,,footbridge,,Point(-105.009 39.758),2.934,http://www.wikidata.org/entity/Q5758679,2.0,,,https://en.wikipedia.org/wiki/Highland_Bridge,http://www.wikidata.org/entity/Q1068842,"('39.758', '-105.009')"
445,,39.7625,-105.024167,Highlands Masonic Lodge,,C,yellow,,,masonic temple,,Point(-105.024167 39.7625),4.24,http://www.wikidata.org/entity/Q5759388,2.0,,,https://en.wikipedia.org/wiki/Highlands_Masonic_Lodge,http://www.wikidata.org/entity/Q1454583,"('39.7625', '-105.024167')"
446,,39.7361,-104.987,History Colorado Center,,C,yellow,,,museum,,Point(-104.987 39.7361),0.394,http://www.wikidata.org/entity/Q5774677,2.0,,,https://en.wikipedia.org/wiki/History_Colorado_Center,http://www.wikidata.org/entity/Q33506,"('39.7361', '-104.987')"
447,,39.6375,-104.93805556,Hopkins Farm,,C,yellow,,,historic district,,Point(-104.93805556 39.6375),12.0,http://www.wikidata.org/entity/Q5900656,2.0,,,"https://en.wikipedia.org/wiki/Hopkins_Farm_(Cherry_Hills_Village,_Colorado)",http://www.wikidata.org/entity/Q15243209,"('39.6375', '-104.93805556')"
448,,39.701698,-104.990072,I-25 & Broadway,,C,yellow,,,tram stop,,Point(-104.990072 39.701698),4.198,http://www.wikidata.org/entity/Q5967528,2.0,,,https://en.wikipedia.org/wiki/I-25_%26_Broadway_station,http://www.wikidata.org/entity/Q2175765,"('39.701698', '-104.990072')"
450,,39.7419,-104.978,Independence Institute,,C,yellow,,,nonprofit organization,,Point(-104.978 39.7419),0.657,http://www.wikidata.org/entity/Q6016098,2.0,,,https://en.wikipedia.org/wiki/Independence_Institute,http://www.wikidata.org/entity/Q163740,"('39.7419', '-104.978')"
451,,39.735,-104.99,Kirkland Museum of Fine & Decorative Art,,C,yellow,,,museum,,Point(-104.990225661 39.73622805),0.568,http://www.wikidata.org/entity/Q6415740,2.0,,,https://en.wikipedia.org/wiki/Kirkland_Museum_of_Fine_%26_Decorative_Art,http://www.wikidata.org/entity/Q33506,"('39.735', '-104.99')"
455,,39.7378,-105.022,Lakewood Gulch,,C,yellow,,,landform,,Point(-105.022 39.7378),3.179,http://www.wikidata.org/entity/Q6479400,2.0,,,https://en.wikipedia.org/wiki/Lakewood_Gulch,http://www.wikidata.org/entity/Q271669,"('39.7378', '-105.022')"
456,,39.6742,-104.96,Lamont School of Music,,C,yellow,,,conservatory,,Point(-104.96 39.6742),7.538,http://www.wikidata.org/entity/Q6482219,2.0,,,https://en.wikipedia.org/wiki/Lamont_School_of_Music,http://www.wikidata.org/entity/Q184644,"('39.6742', '-104.96')"
457,,39.743055555556,-104.98583333333,Lincoln Center,,C,yellow,,,skyscraper,,Point(-104.985833333 39.743055555),0.433,http://www.wikidata.org/entity/Q6550518,2.0,,,https://en.wikipedia.org/wiki/Lincoln_Center_(Denver),http://www.wikidata.org/entity/Q11303,"('39.743055555556', '-104.98583333333')"
