,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
87,https://www.atlasobscura.com/places/isa-yusuf-alptekin-park,41.005052,28.975042,Isa Yusuf Alptekin Park,A tiny park in the middle of some big power politics.,atlas_obscura,gold,,,,,,,,,,,,,"(41.005052, 28.975042)"
88,https://www.atlasobscura.com/places/meryem-ana-rum-ortodoks-kilesesi,41.029633,28.949228,Meryem Ana Rum Ortodoks Kilesesi,It's believed that this small church was connected to the Hagia Sophia via a secret tunnel.,atlas_obscura,gold,,,,,,,,,,,,,"(41.029633, 28.949228)"
90,https://www.atlasobscura.com/places/buuzecedi-istanbul,41.020745,28.94244,Buuzecedi,Homesick Syrian refugees head to this restaurant for a taste of Damascus.,atlas_obscura,gold,,,,,,,,,,,,,"(41.020745, 28.94244)"
94,https://www.atlasobscura.com/places/golden-horn-metro-bridge,41.022543,28.966706,Haliç Metro Bridge,Taking the subway here means doing so over a bridge located in the middle of an estuary.,atlas_obscura,gold,,,,,,,,,,,,,"(41.022543, 28.966706)"
98,https://www.atlasobscura.com/places/palace-of-the-porphyrogenitus-tekfur-sarayi-muzesi-istanbul-turkey,41.035439,28.942675,Palace of the Porphyrogenitus,"Byzantine emperors ruled, lived, and died in this 13th-century palace-turned-museum.",atlas_obscura,gold,,,,,,,,,,,,,"(41.035439, 28.942675)"
99,https://www.atlasobscura.com/places/inciralti-meyhanesi-istanbul,41.044896,29.044675,Inciralti Meyhanesi,Wash down heaping platters of meze with raki at one of the city's best taverns.,atlas_obscura,gold,,,,,,,,,,,,,"(41.044896, 29.044675)"
103,https://www.atlasobscura.com/places/lacivert-istanbul,41.091349,29.066516,Lacivert,Feast on the freshest of fish by the Bosphorus.,atlas_obscura,gold,,,,,,,,,,,,,"(41.091349, 29.066516)"
108,https://www.atlasobscura.com/places/column-of-marcian,41.012191,28.951409,Column of Marcian,The only Roman honorific column in Istanbul.,atlas_obscura,gold,,,,,,,,,,,,,"(41.012191, 28.951409)"
112,https://www.atlasobscura.com/places/column-of-arcadius,41.007796,28.943003,Base of the Column of Arcadius,A massive marble pedestal is all that remains of a column that towered over Constantinople for 1300 years.,atlas_obscura,gold,,,,,,,,,,,,,"(41.007796, 28.943003)"
119,https://www.atlasobscura.com/places/semsi-pasha-mosque,41.025005,29.029263,Şemsi Pasha Mosque,An Ottoman-era mosque looking over the Black Sea.,atlas_obscura,gold,,,,,,,,,,,,,"(41.025005, 29.029263)"
130,https://www.atlasobscura.com/places/sakirin-mosque-istanbul,41.013309,29.024329,Şakirin Mosque,A mosque with distinctive modern features.,atlas_obscura,gold,,,,,,,,,,,,,"(41.013309, 29.024329)"
139,https://www.atlasobscura.com/places/asitane-restaurant,41.031043,28.938893,Asitane Restaurant,This eatery re-creates dishes from the Ottoman Empire so you can dine like a sultan.,atlas_obscura,gold,,,,,,,,,,,,,"(41.031043, 28.938893)"
140,https://www.atlasobscura.com/places/galata-house-restaurant,41.024837,28.973396,Galata House Restaurant,"Housed in an old British jail, this spot serves up Georgian, Russian, and Ukrainian specialities with a side of Turkish history.",atlas_obscura,gold,,,,,,,,,,,,,"(41.024837, 28.973396)"
