,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
0,Hagia Sophia ,41.0085,28.9799,Ayasofya Meydanı ,https://ayasofyacamii.gov.tr/ ,See_Sultanahmet,"The third and grandest of the churches on this site, completed in 537 AD. The 30-m diameter dome covers what was for over 1000 years the largest enclosed space in the world, only surpassed in 1520 by [[Seville]] cathedral. It used ""pendentive"" architecture to throw the dome's weight onto four stout pillars, a design that inspired many Eastern Orthodox churches and Ottoman mosques. It became a mosque after the Ottoman conquest in 1453, remaining so until 1931. It was then a museum until 2020 when it was again proclaimed a mosque. That means you must work around prayer times and dress appropriately.","(41.0085, 28.9799)",wikivoyage,red
1,--,0.0,0.0,,,See_Sultanahmet,,"(0, 0)",wikivoyage,red
2,--,0.0,0.0,,,See_Sultanahmet,,"(0, 0)",wikivoyage,red
0,Topkapı Palace ,41.013,28.984,Babı Hümayun Cd 1 ,https://www.millisaraylar.gov.tr/Lokasyon/2/topkapi-sarayi ,See_Sultanahmet,"The imperial enclave of the Ottoman emperors for four centuries. Lavishly decorated, with exhibitions of fine craftmanship and four courts of increasing grandeur. The second court has the Harem and the State Treasury, housing a weaponry display. On the right, towards the Bosphorus, there is the kitchen exhibition, also with a collection of coffee cups throughout the centuries. The third court has the Imperial Treasury on the right (also with a great view over the Bosphorus) and a collection of  Islamic and Christian relics on the left. The views from the Fourth Court over the Bosphorus are spectacular. Reckon on spending several hours here and bring water as the museum kiosk is overpriced. The museum kiosk is in the kitchen section, on the right-hand side of the second court. Toilets can also be found there, towards the beginning of the second court. These have a shorter line than those in the second court, towards the third court.","(41.013, 28.984)",wikivoyage,red
1,--,0.0,0.0,,,See_Sultanahmet,,"(0, 0)",wikivoyage,red
2,Turkish and Islamic Arts Museum ,0.0,0.0,Atmeydanı Sk 12 ,https://muze.gov.tr/muze-detay?SectionId,See_Sultanahmet,"A profusion of carpets, rugs, calligraphy, pottery, Qu'rans and other manuscripts. The museum is housed in the Palace of Pargalı Ibrahim Pasha (1495–1536), who was grand vizier to Suleiman the Magnificent, and the best of pals till Suleiman had him murdered. ","(0, 0)",wikivoyage,red
0,Basilica Cistern ,41.0081,28.9778,Yerebatan Cd 1/3 ,https://www.yerebatan.com/en ,See_Sultanahmet,"Vast underground cistern built by Justinian in 532 to store the city's water, the largest and best-known of the hundreds constructed. It's a cathedral-like space with 336 richly decorated columns. Time was you explored in a little rowing boat, but tourist numbers have soared and water levels have dropped, so now you follow a boardwalk, with lights, piped music and art installations. It's sometimes a film location, and stages concerts. But the crowds rob it of atmosphere and you might prefer to seek out one of the less-visited cisterns. ","(41.0081, 28.9778)",wikivoyage,red
1,--,0.0,0.0,,,See_Sultanahmet,,"(0, 0)",wikivoyage,red
2,--,0.0,0.0,,,See_Sultanahmet,,"(0, 0)",wikivoyage,red
0,Museum of Archaeology ,41.0107,28.9812,Osman Hamdi Bey Yokuşu ,https://muze.gov.tr/muze-detay?SectionId,See_Eminönü,"Turkey was slow to protect its antiquities and to display them properly, but in 1867 Sultan Abdülaziz toured the museums of Paris, London and Vienna and saw what was needed. The main collection is in a grand neo-classical building of 1891, with two annexes for ancient art and Islamic art. Exhibits include Sumerian tablets, pieces of the wall of Babylon, Roman statues, and the Alexander Sarcophagus. There are very detailed historical explanations in both Turkish and English. There is also quite an accurate exhibition about the historical layers and epochs of the city of [[Troy (Turkey)","(41.0107, 28.9812)",wikivoyage,red
0,--,0.0,0.0,,,See_Eminönü,,"(0, 0)",wikivoyage,red
0,--,0.0,0.0,,,See_Eminönü,,"(0, 0)",wikivoyage,red
1,Museum of the History of Science and Technology in Islam ,41.0138,28.9796,Taya Hatun Sk 8A ,https://muze.gov.tr/muze-detay?SectionId,See_Eminönü,"Museum in a restored building that was the stables for Topkapı Palace. It exhibits various instruments for astronomy, clocks, pumps, weaponry and so on developed in Islamic realms down the centuries, but these are modern repro, and explanations of their context are skimpy. Islamic science and technology preceded that of Europe, as they insist, but they get the tone wrong, as if that was the triumphal culmination rather than the springboard for further advance.","(41.0138, 28.9796)",wikivoyage,red
0,Istanbul Railway Museum ,0.0,0.0,Sirkeci Railway Station (street level) , ,See_Eminönü,"Housed in the Europe-side railway terminus of 1890, this exhibits Ottoman and modern Turkish railway history. The [[Orient Express]] came and went from here, with passengers for further east transferring to ferries then the Asia-side terminus of Haydarpaşa, for trains to Crimea, Baghdad and Damascus.","(0, 0)",wikivoyage,red
1,--,0.0,0.0,,,See_Eminönü,,"(0, 0)",wikivoyage,red
2,--,0.0,0.0,,,See_Eminönü,,"(0, 0)",wikivoyage,red
3,Rüstem Pasha Mosque ,41.0176,28.9688,Hasırcılar Cd 62 , ,See_Eminönü,"Built in 1564 by Mimar Sinan for Rüstem Pasha, Grand Vizier of Suleiman the Magnificent, this small mosque has an interior covered by beautiful Iznik pottery, then at its zenith.","(41.0176, 28.9688)",wikivoyage,red
4,Beyazit II Mosque ,41.0103,28.9653,Yeniçeriler Cd , ,See_Eminönü,Imposing mosque built 1500/05. The other parts of the religious complex have found secular use. ,"(41.0103, 28.9653)",wikivoyage,red
5,--,0.0,0.0,,,See_Eminönü,,"(0, 0)",wikivoyage,red
0,Ahırkapı lighthouse ,0.0,0.0,,,See_Cankurtaran,,"(0, 0)",wikivoyage,red
1,Great Palace Mosaics Museum ,0.0,0.0,Arasta Bazaar ,https://muze.gov.tr/muze-detay?SectionId,See_Cankurtaran,"This museum hosts the pavement mosaics of the Great Palace of Constantinople, which stretched from the Hippodrome to the coast.","(0, 0)",wikivoyage,red
2,Sokollu Mehmet Pasha Mosque ,41.0048,28.9721,Suterazisi Sk , ,See_Cankurtaran,"Sokollu Mehmet Pasha was the grand vizier and ''de facto'' ruler of the Ottoman Empire during its 16th century golden age. He commissioned this mosque, one of three in the city to bear his name, but the sloping site was a challenge. He hired the best, [[Architecture#Mimar Sinan ","(41.0048, 28.9721)",wikivoyage,red
3,Little Hagia Sophia ,41.0028,28.9719,Küçük Ayasofya Cd 78 ,https://littlehagiasophia.com/ ,See_Cankurtaran,"Built as the Church of Saints Sergius and Bacchus around 530 AD, the same time as Hagia Sophia, but their styles differ. Transformed into a mosque in the early 1500s, it's beautifully decorated, with fine marble details, and has a pleasanter atmosphere than the larger busy mosques. The adjoining madrasa houses craft shops.","(41.0028, 28.9719)",wikivoyage,red
0,Theodosius Cistern ,41.0073,28.9726,Piyer Loti Cd 2/1 ,https://www.serefiyesarnici.istanbul/en/ ,See_Beyazıt,"This was rediscovered in 2010 when an overlying building was demolished. It was built circa 430 AD to store water brought in by Valens Aqueduct. It's smaller than the better-known Basilica Cistern, but better lit, more atmospheric and less touristy.","(41.0073, 28.9726)",wikivoyage,red
1,Column of Constantine ,41.008553,28.9712828,,,See_Beyazıt,,"(41.008553, 28.9712828)",wikivoyage,red
