,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,item,articleDE,articleEN,location,distance,sitelinks,thing,to_drop_key
9,,25.358611111111,79.596666666667,Lohāri Minor,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26806712,,,Point(79.596666666 25.358611111),10.991,1.0,http://www.wikidata.org/entity/Q12284,"('25.358611111111', '79.596666666667')"
10,,25.393333333333,79.690277777778,Arjun Main Canal,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26806718,,,Point(79.690277777 25.393333333),3.867,1.0,http://www.wikidata.org/entity/Q12284,"('25.393333333333', '79.690277777778')"
11,,25.366388888889,79.590833333333,Gorahri Minor,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26806716,,,Point(79.590833333 25.366388888),11.584,1.0,http://www.wikidata.org/entity/Q12284,"('25.366388888889', '79.590833333333')"
12,,25.242222222222,79.655,Q26807753,,D,blue,,,hill,,,http://www.wikidata.org/entity/Q26807753,,,Point(79.655 25.242222222),14.229,1.0,http://www.wikidata.org/entity/Q54050,"('25.242222222222', '79.655')"
13,,25.292222222222,79.652222222222,Bamhauri Minor,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26807759,,,Point(79.652222222 25.292222222),9.419,1.0,http://www.wikidata.org/entity/Q12284,"('25.292222222222', '79.652222222222')"
14,,25.290277777778,79.691666666667,Sirmaur Minor,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26807762,,,Point(79.691666666 25.290277777),8.06,1.0,http://www.wikidata.org/entity/Q12284,"('25.290277777778', '79.691666666667')"
15,,25.292777777778,79.646944444444,Kulpahār Minor,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26807763,,,Point(79.646944444 25.292777777),9.684,1.0,http://www.wikidata.org/entity/Q12284,"('25.292777777778', '79.646944444444')"
16,,25.296388888889,79.722222222222,Q26807760,,D,blue,,,hill,,,http://www.wikidata.org/entity/Q26807760,,,Point(79.722222222 25.296388888),7.431,1.0,http://www.wikidata.org/entity/Q54050,"('25.296388888889', '79.722222222222')"
17,,25.29,79.691111111111,Mauhāri Minor,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26807761,,,Point(79.691111111 25.29),8.1,1.0,http://www.wikidata.org/entity/Q12284,"('25.29', '79.691111111111')"
18,,25.329444444444,79.663888888889,Q26807770,,D,blue,,,hill,,,http://www.wikidata.org/entity/Q26807770,,,Point(79.663888888 25.329444444),5.54,1.0,http://www.wikidata.org/entity/Q54050,"('25.329444444444', '79.663888888889')"
19,,25.332777777778,79.583333333333,Dwāsi Minor,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26807771,,,Point(79.583333333 25.332777777),12.737,1.0,http://www.wikidata.org/entity/Q12284,"('25.332777777778', '79.583333333333')"
20,,25.3325,79.5875,Sungra Minor,,D,blue,,,canal,,,http://www.wikidata.org/entity/Q26807768,,,Point(79.5875 25.3325),12.34,1.0,http://www.wikidata.org/entity/Q12284,"('25.3325', '79.5875')"
21,,25.317222222222,79.634722222222,Q26807769,,D,blue,,,depression,,,http://www.wikidata.org/entity/Q26807769,,,Point(79.634722222 25.317222222),8.698,1.0,http://www.wikidata.org/entity/Q190429,"('25.317222222222', '79.634722222222')"
23,,25.359722222222,79.705555555556,Arjun Nadi,,D,blue,,,river,,,http://www.wikidata.org/entity/Q32236774,,,Point(79.705555555 25.359722222),0.213,1.0,http://www.wikidata.org/entity/Q4022,"('25.359722222222', '79.705555555556')"
24,,25.362222222222,79.647222222222,Badhori Nadi,,D,blue,,,river,,,http://www.wikidata.org/entity/Q32303898,,,Point(79.647222222 25.362222222),5.907,1.0,http://www.wikidata.org/entity/Q4022,"('25.362222222222', '79.647222222222')"
25,,25.415277777778,79.667777777778,Barhori Nadi,,D,blue,,,river,,,http://www.wikidata.org/entity/Q32449915,,,Point(79.667777777 25.415277777),7.098,1.0,http://www.wikidata.org/entity/Q4022,"('25.415277777778', '79.667777777778')"
26,,25.299444444444,79.759166666667,Bhairon Nadi,,D,blue,,,river,,,http://www.wikidata.org/entity/Q32487294,,,Point(79.759166666 25.299444444),8.734,1.0,http://www.wikidata.org/entity/Q4022,"('25.299444444444', '79.759166666667')"
27,,25.356111111111,79.691388888889,Bharwa Nadi,,D,blue,,,river,,,http://www.wikidata.org/entity/Q32488012,,,Point(79.691388888 25.356111111),1.591,1.0,http://www.wikidata.org/entity/Q4022,"('25.356111111111', '79.691388888889')"
28,,25.402222222222,79.829722222222,Bamhauriā Tāl,,D,blue,,,lagoon,,,http://www.wikidata.org/entity/Q33228114,,,Point(79.829722222 25.402222222),13.223,1.0,http://www.wikidata.org/entity/Q187223,"('25.402222222222', '79.829722222222')"
29,,25.395555555556,79.750277777778,Bansī Tāl,,D,blue,,,lagoon,,,http://www.wikidata.org/entity/Q33228274,,,Point(79.750277777 25.395555555),5.834,1.0,http://www.wikidata.org/entity/Q187223,"('25.395555555556', '79.750277777778')"
30,,25.241111111111,79.721111111111,Dūlha Tāl,,D,blue,,,lagoon,,,http://www.wikidata.org/entity/Q33248643,,,Point(79.721111111 25.241111111),13.482,1.0,http://www.wikidata.org/entity/Q187223,"('25.241111111111', '79.721111111111')"
31,,25.391111111111,79.751666666667,Jai Sāgar,,D,blue,,,lagoon,,,http://www.wikidata.org/entity/Q33264462,,,Point(79.751666666 25.391111111),5.64,1.0,http://www.wikidata.org/entity/Q187223,"('25.391111111111', '79.751666666667')"
32,,25.291666666667,79.649166666667,Kulpahār Sāgar,,D,blue,,,lagoon,,,http://www.wikidata.org/entity/Q33267749,,,Point(79.649166666 25.291666666),9.648,1.0,http://www.wikidata.org/entity/Q187223,"('25.291666666667', '79.649166666667')"
33,,25.430277777778,79.760555555556,Malkhān Tāl,,D,blue,,,lagoon,,,http://www.wikidata.org/entity/Q33287132,,,Point(79.760555555 25.430277777),9.399,1.0,http://www.wikidata.org/entity/Q187223,"('25.430277777778', '79.760555555556')"
34,,25.27,79.703888888889,Māral Tāl,,D,blue,,,lagoon,,,http://www.wikidata.org/entity/Q33293754,,,Point(79.703888888 25.27),10.187,1.0,http://www.wikidata.org/entity/Q187223,"('25.27', '79.703888888889')"
35,,25.436388888889,79.736111111111,Thākur Tāl,,D,blue,,,lagoon,,,http://www.wikidata.org/entity/Q33316232,,,Point(79.736111111 25.436388888),8.849,1.0,http://www.wikidata.org/entity/Q187223,"('25.436388888889', '79.736111111111')"
36,,25.439722222222,79.662777777778,Sūkha Nadi,,D,blue,,,river,,,http://www.wikidata.org/entity/Q34897422,,,Point(79.662777777 25.439722222),9.712,1.0,http://www.wikidata.org/entity/Q4022,"('25.439722222222', '79.662777777778')"
37,,25.381944444444,79.691111111111,Raipur Reservoir,,D,blue,,,reservoir,,,http://www.wikidata.org/entity/Q34918111,,,Point(79.691111111 25.381944444),2.713,1.0,http://www.wikidata.org/entity/Q131681,"('25.381944444444', '79.691111111111')"
38,,25.366111111111,79.590555555556,Bhatewara Distributary,,D,blue,,,distributary,,,http://www.wikidata.org/entity/Q34937612,,,Point(79.590555555 25.366111111),11.611,1.0,http://www.wikidata.org/entity/Q591942,"('25.366111111111', '79.590555555556')"
39,,25.389166666667,79.716944444444,Pachpahra Distributary,,D,blue,,,distributary,,,http://www.wikidata.org/entity/Q34951318,,,Point(79.716944444 25.389166666),3.257,1.0,http://www.wikidata.org/entity/Q591942,"('25.389166666667', '79.716944444444')"
40,,25.335833333333,79.656944444444,Q49317136,,D,blue,,,intermittent lake,,,http://www.wikidata.org/entity/Q49317136,,,Point(79.656944444 25.335833333),5.702,1.0,http://www.wikidata.org/entity/Q10313934,"('25.335833333333', '79.656944444444')"
41,,25.325833333333,79.564166666667,Q49317312,,D,blue,,,intermittent lake,,,http://www.wikidata.org/entity/Q49317312,,,Point(79.564166666 25.325833333),14.798,1.0,http://www.wikidata.org/entity/Q10313934,"('25.325833333333', '79.564166666667')"
42,,25.270833333333,79.717777777778,Q49317426,,D,blue,,,intermittent lake,,,http://www.wikidata.org/entity/Q49317426,,,Point(79.717777777 25.270833333),10.161,1.0,http://www.wikidata.org/entity/Q10313934,"('25.270833333333', '79.717777777778')"
43,,25.325,79.633333333333,Q49317430,,D,blue,,,intermittent lake,,,http://www.wikidata.org/entity/Q49317430,,,Point(79.633333333 25.325),8.36,1.0,http://www.wikidata.org/entity/Q10313934,"('25.325', '79.633333333333')"
44,,25.33,79.653333333333,Q49317583,,D,blue,,,intermittent lake,,,http://www.wikidata.org/entity/Q49317583,,,Point(79.653333333 25.33),6.353,1.0,http://www.wikidata.org/entity/Q10313934,"('25.33', '79.653333333333')"
45,,25.395,79.689722222222,Q49317615,,D,blue,,,intermittent lake,,,http://www.wikidata.org/entity/Q49317615,,,Point(79.689722222 25.395),4.059,1.0,http://www.wikidata.org/entity/Q10313934,"('25.395', '79.689722222222')"
46,,25.493055555556,79.703333333333,Q49317682,,D,blue,,,intermittent lake,,,http://www.wikidata.org/entity/Q49317682,,,Point(79.703333333 25.493055555),14.62,1.0,http://www.wikidata.org/entity/Q10313934,"('25.493055555556', '79.703333333333')"
47,,25.450277777778,79.679722222222,Q49317962,,D,blue,,,intermittent lake,,,http://www.wikidata.org/entity/Q49317962,,,Point(79.679722222 25.450277777),10.208,1.0,http://www.wikidata.org/entity/Q10313934,"('25.450277777778', '79.679722222222')"
48,,25.436666666667,79.719722222222,Q49318265,,D,blue,,,intermittent lake,,,http://www.wikidata.org/entity/Q49318265,,,Point(79.719722222 25.436666666),8.46,1.0,http://www.wikidata.org/entity/Q10313934,"('25.436666666667', '79.719722222222')"
49,,25.456388888889,79.701388888889,Q49318335,,D,blue,,,intermittent lake,,,http://www.wikidata.org/entity/Q49318335,,,Point(79.701388888 25.456388888),10.55,1.0,http://www.wikidata.org/entity/Q10313934,"('25.456388888889', '79.701388888889')"
51,,25.40163938458,79.751354131172,Dyudhi Darwaza,,D,blue,,,gate,,,http://www.wikidata.org/entity/Q97124412,,,Point(79.751354131 25.401639384),6.37,1.0,http://www.wikidata.org/entity/Q53060,"('25.40163938458', '79.751354131172')"
