,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,ao_link,ao_description,address,url,description,fetched_coordinates
70,http://www.wikidata.org/entity/Q985660,https://de.wikipedia.org/wiki/Novena_(Singapur),"https://en.wikipedia.org/wiki/Novena,_Singapore",Point(103.837 1.324),4.164,1.324,103.837,9.0,http://www.wikidata.org/entity/Q674950,Novena,residential area,B,violet,,,,,,
72,http://www.wikidata.org/entity/Q3307633,,https://en.wikipedia.org/wiki/Toa_Payoh_ritual_murders,Point(103.857 1.33694),4.733,1.33694,103.857,8.0,http://www.wikidata.org/entity/Q14042845,Toa Payoh ritual murders,ritual murder,B,violet,,,,,,
77,http://www.wikidata.org/entity/Q22970788,,https://en.wikipedia.org/wiki/Bukit_Timah,Point(103.776375 1.35468056),4.801,1.35468056,103.776375,8.0,http://www.wikidata.org/entity/Q570116,Bukit Timah,tourist attraction,B,violet,,,,,,
78,http://www.wikidata.org/entity/Q1507273,https://de.wikipedia.org/wiki/National_Junior_College,https://en.wikipedia.org/wiki/National_Junior_College,Point(103.804167 1.330278),3.436,1.330278,103.804167,8.0,http://www.wikidata.org/entity/Q6313528,National Junior College,junior college,B,violet,,,,,,
83,http://www.wikidata.org/entity/Q25171659,,https://en.wikipedia.org/wiki/Central_Water_Catchment,Point(103.8 1.36666667),2.414,1.36666667,103.8,8.0,http://www.wikidata.org/entity/Q104527265,Central Water Catchment,planning area of Singapore,B,violet,,,,,,
84,http://www.wikidata.org/entity/Q1112557,,https://en.wikipedia.org/wiki/Internal_Security_Department_(Singapore),Point(103.84408889 1.32349444),4.63,1.32349444,103.84408889,7.0,http://www.wikidata.org/entity/Q327333,Internal Security Department,government agency,B,violet,,,,,,
86,http://www.wikidata.org/entity/Q2890360,,https://en.wikipedia.org/wiki/Kong_Meng_San_Phor_Kark_See_Monastery,Point(103.836 1.36144),1.896,1.36144,103.836,7.0,http://www.wikidata.org/entity/Q5393308,Kong Meng San Phor Kark See Monastery,Buddhist temple,B,violet,,,,,,
87,http://www.wikidata.org/entity/Q4261602,,https://en.wikipedia.org/wiki/Masjid_An-Nahdhah,Point(103.851 1.35351),3.524,1.35351,103.851,7.0,http://www.wikidata.org/entity/Q32815,Masjid An-Nahdhah,mosque,B,violet,,,,,,
90,http://www.wikidata.org/entity/Q1141136,https://de.wikipedia.org/wiki/Thomson_Road_Grand_Prix_Circuit,https://en.wikipedia.org/wiki/Thomson_Road_Grand_Prix_circuit,Point(103.819 1.3832),2.902,1.3832,103.819,7.0,http://www.wikidata.org/entity/Q2338524,Thomson Road Grand Prix circuit,motorsport racing track,B,violet,,,,,,
93,http://www.wikidata.org/entity/Q10123616,,https://en.wikipedia.org/wiki/Sun_Yat_Sen_Nanyang_Memorial_Hall,Point(103.8471 1.3281),4.451,1.3281,103.8471,6.0,http://www.wikidata.org/entity/Q570116,Sun Yat Sen Nanyang Memorial Hall,tourist attraction,B,violet,,,,,,
95,http://www.wikidata.org/entity/Q14874255,,https://en.wikipedia.org/wiki/Hwa_Chong_Institution,Point(103.803491 1.32654),3.836,1.32654,103.803491,6.0,http://www.wikidata.org/entity/Q6313528,Hwa Chong Institution,junior college,B,violet,,,,,,
97,http://www.wikidata.org/entity/Q866299,https://de.wikipedia.org/wiki/Bishan_Park,https://en.wikipedia.org/wiki/Bishan-Ang_Mo_Kio_Park,Point(103.833333333 1.366666666),1.869,1.3666666666667,103.83333333333,6.0,http://www.wikidata.org/entity/Q22698,Bishan-Ang Mo Kio Park,park,B,violet,,,,,,
98,http://www.wikidata.org/entity/Q7331703,https://de.wikipedia.org/wiki/MacRitchie-Stausee,https://en.wikipedia.org/wiki/MacRitchie_Reservoir,Point(103.831111111 1.343611111),1.979,1.3436111111111,103.83111111111,6.0,http://www.wikidata.org/entity/Q131681,MacRitchie Reservoir,reservoir,B,violet,,,,,,
99,http://www.wikidata.org/entity/Q864055,,https://en.wikipedia.org/wiki/Pathlight_School,Point(103.8544 1.3594),3.888,1.3594,103.8544,5.0,http://www.wikidata.org/entity/Q1110689,Pathlight School,special education school,B,violet,,,,,,
100,http://www.wikidata.org/entity/Q4504850,,https://en.wikipedia.org/wiki/Novena_Church,Point(103.843 1.32181),4.715,1.32181,103.843,5.0,http://www.wikidata.org/entity/Q16970,Novena Church,church building,B,violet,,,,,,
103,http://www.wikidata.org/entity/Q6783328,,https://en.wikipedia.org/wiki/Masjid_Al-Huda,Point(103.7947111 1.32318889),4.671,1.32318889,103.7947111,5.0,http://www.wikidata.org/entity/Q32815,Masjid Al-Huda,mosque,B,violet,,,,,,
104,http://www.wikidata.org/entity/Q6783332,,https://en.wikipedia.org/wiki/Masjid_Al-Muttaqin,Point(103.846 1.37049),3.3,1.37049,103.846,5.0,http://www.wikidata.org/entity/Q32815,Masjid Al-Muttaqin,mosque,B,violet,,,,,,
105,http://www.wikidata.org/entity/Q6974666,,https://en.wikipedia.org/wiki/National_Orchid_Garden,Point(103.8139 1.3157),4.646,1.3157,103.8139,5.0,http://www.wikidata.org/entity/Q6053503,National Orchid Garden,orchidarium,B,violet,,,,,,
106,http://www.wikidata.org/entity/Q7337882,,https://en.wikipedia.org/wiki/Upper_Peirce_Reservoir,Point(103.801944444 1.3675),2.268,1.3675,103.80194444444,5.0,http://www.wikidata.org/entity/Q131681,Upper Peirce Reservoir,reservoir,B,violet,,,,,,
107,http://www.wikidata.org/entity/Q7662965,,https://en.wikipedia.org/wiki/Syonan_Shrine,Point(103.813805555 1.348222222),1.173,1.3482222222222,103.81380555556,5.0,http://www.wikidata.org/entity/Q618123,Syonan Jinja,geographical feature,B,violet,,,,,,
110,http://www.wikidata.org/entity/Q12497249,,https://en.wikipedia.org/wiki/Masjid_Abdul_Hamid,Point(103.841 1.32),4.768,1.32,103.841,5.0,http://www.wikidata.org/entity/Q32815,Masjid Abdul Hamid,mosque,B,violet,,,,,,
113,http://www.wikidata.org/entity/Q6964469,https://de.wikipedia.org/wiki/Nanyang_Polytechnic,https://en.wikipedia.org/wiki/Nanyang_Polytechnic,Point(103.84901 1.38006),4.156,1.38006,103.84901,5.0,http://www.wikidata.org/entity/Q1371037,Nanyang Polytechnic,institute of technology,B,violet,,,,,,
114,http://www.wikidata.org/entity/Q3152821,,"https://en.wikipedia.org/wiki/St._Joseph%27s_Institution,_Singapore",Point(103.8284622 1.3229793),3.923,1.3229793,103.8284622,4.0,http://www.wikidata.org/entity/Q159334,Saint Joseph's Institution,secondary school,C,yellow,,,,,,
116,http://www.wikidata.org/entity/Q4917325,,https://en.wikipedia.org/wiki/Bishan_Public_Library,Point(103.849 1.34984),3.377,1.34984,103.849,4.0,http://www.wikidata.org/entity/Q28564,Bishan Public Library,public library,C,yellow,,,,,,
117,http://www.wikidata.org/entity/Q4986974,,https://en.wikipedia.org/wiki/Bukit_Timah_railway_station,Point(103.781111 1.334167),4.971,1.334167,103.781111,4.0,http://www.wikidata.org/entity/Q4663385,Bukit Timah railway station,former railway station,C,yellow,,,,,,
118,http://www.wikidata.org/entity/Q4999418,,https://en.wikipedia.org/wiki/Burmese_Buddhist_Temple,Point(103.847 1.32842),4.418,1.32842,103.847,4.0,http://www.wikidata.org/entity/Q5393308,Burmese Buddhist Temple,Buddhist temple,C,yellow,,,,,,
119,http://www.wikidata.org/entity/Q5053176,,"https://en.wikipedia.org/wiki/Catholic_High_School,_Singapore",Point(103.844722222 1.354722222),2.816,1.3547222222222,103.84472222222,4.0,http://www.wikidata.org/entity/Q9826,Catholic High School,high school,C,yellow,,,,,,
121,http://www.wikidata.org/entity/Q7521551,,https://en.wikipedia.org/wiki/Sin_Ming,Point(103.83679167 1.356525),1.923,1.356525,103.83679167,4.0,http://www.wikidata.org/entity/Q12104567,Sin Ming,housing estate,C,yellow,,,,,,
122,http://www.wikidata.org/entity/Q7523020,,https://en.wikipedia.org/wiki/Singapore_Institute_of_Management,Point(103.8 1.32583),4.098,1.32583,103.8,4.0,http://www.wikidata.org/entity/Q1143635,Singapore Institute of Management,business school,C,yellow,,,,,,
124,http://www.wikidata.org/entity/Q7722564,,https://en.wikipedia.org/wiki/The_Chinese_High_School_Clock_Tower_Building,Point(103.803 1.32639),3.877,1.32639,103.803,4.0,http://www.wikidata.org/entity/Q853854,The Chinese High School Clock Tower Building,clock tower,C,yellow,,,,,,
125,http://www.wikidata.org/entity/Q7811339,,https://en.wikipedia.org/wiki/Toa_Payoh_Stadium,Point(103.853 1.3304),4.763,1.3304,103.853,4.0,http://www.wikidata.org/entity/Q483110,Toa Payoh Stadium,stadium,C,yellow,,,,,,
