,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
1360,http://www.wikidata.org/entity/Q63346705,,https://en.wikipedia.org/wiki/Dadar_(East)_monorail_station,Point(72.852302 19.016311),9.949,19.016311,72.852302,1,http://www.wikidata.org/entity/Q63125083,Dadar (East) monorail station,monorail station,D,blue
1361,http://www.wikidata.org/entity/Q63346710,,https://en.wikipedia.org/wiki/GTB_Nagar_monorail_station,Point(72.87082 19.036783),6.979,19.036783,72.87082,1,http://www.wikidata.org/entity/Q63125083,GTB Nagar monorail station,monorail station,D,blue
1362,http://www.wikidata.org/entity/Q63346708,,https://en.wikipedia.org/wiki/Antop_Hill_monorail_station,Point(72.866988 19.030203),7.766,19.030203,72.866988,1,http://www.wikidata.org/entity/Q63125083,Antop Hill monorail station,monorail station,D,blue
1366,http://www.wikidata.org/entity/Q63592634,,https://en.wikipedia.org/wiki/Mint_Colony_monorail_station,Point(72.8431936 18.994474),12.359,18.994474,72.8431936,1,http://www.wikidata.org/entity/Q63125083,Mint Colony monorail station,monorail station,D,blue
1367,http://www.wikidata.org/entity/Q65064840,,"https://en.wikipedia.org/wiki/Maharashtra_College_of_Arts,_Science_and_Commerce",Point(72.826733 18.967879),15.733,18.967879,72.826733,1,http://www.wikidata.org/entity/Q4671277,"Maharashtra College of Arts, Science and Commerce",academic institution,D,blue
1368,http://www.wikidata.org/entity/Q65082870,,https://en.wikipedia.org/wiki/2019_Mumbai_foot_overbridge_collapse,Point(72.83466 18.942203),17.59,18.942203,72.83466,1,http://www.wikidata.org/entity/Q11620651,2019 Mumbai foot overbridge collapse,bridge failure,D,blue
1369,http://www.wikidata.org/entity/Q65954401,,,Point(72.836822222 18.932966666),18.365,18.932966666667,72.836822222222,1,http://www.wikidata.org/entity/Q65954225,Reserve Bank of India Mumbai,Reserve Bank of India branch,D,blue
1370,http://www.wikidata.org/entity/Q66584186,,,Point(72.831109108 18.930873064),18.864,18.930873064129,72.831109108805,1,http://www.wikidata.org/entity/Q66576265,Bank Of India Mumbai (main) branch,Bank of India branch,D,blue
1371,http://www.wikidata.org/entity/Q70092046,,,Point(72.831094 18.931403),18.814,18.931403,72.831094,1,http://www.wikidata.org/entity/Q35112127,HSBC Bank Main Branch Mumbai branch,historic building,D,blue
1373,http://www.wikidata.org/entity/Q71546292,,,Point(72.830919788 18.930420261),18.917,18.930420261111,72.830919788889,1,http://www.wikidata.org/entity/Q71545956,Standard Chartered Bank RTGS-HO branch,Standard Chartered Bank branch,D,blue
1374,http://www.wikidata.org/entity/Q71546426,,,Point(72.831369729 18.934058219),18.545,18.934058219811,72.831369729703,1,http://www.wikidata.org/entity/Q71545956,Standard Chartered Bank 23-25 M G Road branch,Standard Chartered Bank branch,D,blue
1375,http://www.wikidata.org/entity/Q73603071,,,Point(72.83199062 18.931489621),18.758,18.931489621662,72.831990620799,1,http://www.wikidata.org/entity/Q73580208,Central Bank Of India Mumbai Main Office branch,Central Bank of India branch,D,blue
1376,http://www.wikidata.org/entity/Q85769302,,https://en.wikipedia.org/wiki/Indian_Film_%26_Television_Directors%27_Association,Point(72.834634 19.140407),11.485,19.140407,72.834634,1,http://www.wikidata.org/entity/Q178790,Indian Film & Television Directors’ Association,labor union,D,blue
1378,http://www.wikidata.org/entity/Q87086043,,,Point(72.7808269 19.2419548),23.498,19.2419548,72.7808269,1,http://www.wikidata.org/entity/Q40080,Gorai Beach,beach,D,blue
1379,http://www.wikidata.org/entity/Q89104801,,,Point(72.780666 19.278484),26.789,19.278484,72.780666,1,http://www.wikidata.org/entity/Q39715,Uttan Lighthouse,lighthouse,D,blue
1380,http://www.wikidata.org/entity/Q96382116,,https://en.wikipedia.org/wiki/Indigo_(restaurant),Point(72.831944444 18.921944444),19.686,18.921944444444,72.831944444444,1,http://www.wikidata.org/entity/Q11707,Indigo,restaurant,D,blue
1381,http://www.wikidata.org/entity/Q96405981,,https://en.wikipedia.org/wiki/Somaiya_Vidyavihar_University,Point(72.8978 19.0726),2.534,19.0726,72.8978,1,http://www.wikidata.org/entity/Q902104,Somaiya Vidyavihar University,private university,D,blue
1382,http://www.wikidata.org/entity/Q97184925,,https://en.wikipedia.org/wiki/Crawford_Market_Fountain,Point(72.83471 18.947414),17.094,18.947414,72.83471,1,http://www.wikidata.org/entity/Q483453,Crawford Market Fountain,fountain,D,blue
1383,http://www.wikidata.org/entity/Q97308683,,,Point(72.85285192 19.24303348),19.761,19.24303348,72.85285192,1,http://www.wikidata.org/entity/Q16970,"Portuguese churches, Mandapeshwar",church building,D,blue
1385,http://www.wikidata.org/entity/Q98828607,,,Point(72.840228453 19.055062297),8.883,19.055062297981,72.840228453513,1,http://www.wikidata.org/entity/Q41176,Bandra suburban railway station building,building,D,blue
1386,http://www.wikidata.org/entity/Q98828605,,,Point(72.828364319 18.933620807),18.749,18.933620807427,72.828364319033,1,http://www.wikidata.org/entity/Q41176,Western Railway Headquarter Building,building,D,blue
1387,http://www.wikidata.org/entity/Q98937606,,,Point(72.82261 19.0119),12.686,19.0119,72.82261,1,http://www.wikidata.org/entity/Q11303,Three Sixty West Tower A,skyscraper,D,blue
1388,http://www.wikidata.org/entity/Q98937711,,,Point(72.82335 19.01097),12.682,19.01097,72.82335,1,http://www.wikidata.org/entity/Q11303,Three Sixty West Tower B,skyscraper,D,blue
1390,http://www.wikidata.org/entity/Q107435286,,https://en.wikipedia.org/wiki/Taloja_Central_Jail,Point(73.0683 19.078),15.442,19.078,73.0683,1,http://www.wikidata.org/entity/Q40357,Taloja Central Jail,prison,D,blue
1406,http://www.wikidata.org/entity/Q110885695,,,Point(72.8667 19.064),5.936,19.064,72.8667,1,http://www.wikidata.org/entity/Q1378975,Jio World Centre,convention center,D,blue
1409,http://www.wikidata.org/entity/Q112762600,,"https://en.wikipedia.org/wiki/Chandika_Devi_Temple,_Juchandra",Point(72.881666666 19.360277777),31.716,19.360277777778,72.881666666667,1,http://www.wikidata.org/entity/Q24398318,"Chandika Devi Temple, Juchandra",religious building,D,blue
1410,http://www.wikidata.org/entity/Q115978654,,https://en.wikipedia.org/wiki/Masque_(restaurant),Point(72.82562 18.98982),14.011,18.98982,72.82562,1,http://www.wikidata.org/entity/Q11707,Masque,restaurant,D,blue
1455,http://www.wikidata.org/entity/Q117006139,,,Point(72.831877957 18.925051505),19.387,18.925051505389,72.831877957276,1,http://www.wikidata.org/entity/Q1802963,Indian Mercantile Mansion,mansion,D,blue
1457,http://www.wikidata.org/entity/Q117006523,,,Point(72.830921592 18.927895796),19.161,18.927895796261,72.830921592276,1,http://www.wikidata.org/entity/Q1021645,Army & Navy Building,office building,D,blue
1458,http://www.wikidata.org/entity/Q117031983,,,Point(72.830619646 18.932226691),18.76,18.932226691609,72.83061964676,1,http://www.wikidata.org/entity/Q1021645,Public Works Department building,office building,D,blue
1459,http://www.wikidata.org/entity/Q117032026,,,Point(72.827944 18.927327),19.372,18.927327,72.827944,1,http://www.wikidata.org/entity/Q13402009,Ivorine,apartment building,D,blue
1460,http://www.wikidata.org/entity/Q117032027,,,Point(72.827928 18.927738),19.334,18.927738,72.827928,1,http://www.wikidata.org/entity/Q41176,Palm Court,building,D,blue
1461,http://www.wikidata.org/entity/Q117032024,,,Point(72.827896 18.92675),19.43,18.92675,72.827896,1,http://www.wikidata.org/entity/Q41176,Moonlight,building,D,blue
1462,http://www.wikidata.org/entity/Q117032025,,,Point(72.827932 18.927038),19.401,18.927038,72.827932,1,http://www.wikidata.org/entity/Q13402009,Sunshine,apartment building,D,blue
1463,http://www.wikidata.org/entity/Q117032030,,,Point(72.827965 18.928744),19.235,18.928744,72.827965,1,http://www.wikidata.org/entity/Q41176,Shiv Shanti Bhuvan,building,D,blue
1464,http://www.wikidata.org/entity/Q117032031,,,Point(72.827976 18.929041),19.207,18.929041,72.827976,1,http://www.wikidata.org/entity/Q13402009,Rajjab Mahal,apartment building,D,blue
1465,http://www.wikidata.org/entity/Q117032028,,,Point(72.827949 18.92802),19.306,18.92802,72.827949,1,http://www.wikidata.org/entity/Q13402009,Oval View,apartment building,D,blue
1466,http://www.wikidata.org/entity/Q117032029,,,Point(72.827983 18.928337),19.273,18.928337,72.827983,1,http://www.wikidata.org/entity/Q13402009,Belvedere Court,apartment building,D,blue
1467,http://www.wikidata.org/entity/Q117032034,,,Point(72.828004 18.93021),19.093,18.93021,72.828004,1,http://www.wikidata.org/entity/Q41176,Windsor House,building,D,blue
1468,http://www.wikidata.org/entity/Q117032035,,,Point(72.828013 18.930455),19.07,18.930455,72.828013,1,http://www.wikidata.org/entity/Q13402009,Queen's Court,apartment building,D,blue
1469,http://www.wikidata.org/entity/Q117032032,,,Point(72.828016 18.929365),19.173,18.929365,72.828016,1,http://www.wikidata.org/entity/Q41176,Empress Court,building,D,blue
1470,http://www.wikidata.org/entity/Q117032033,,,Point(72.827992 18.929924),19.121,18.929924,72.827992,1,http://www.wikidata.org/entity/Q13402009,Rajesh Mansion,apartment building,D,blue
1471,http://www.wikidata.org/entity/Q117032038,,,Point(72.82803 18.93115),19.002,18.93115,72.82803,1,http://www.wikidata.org/entity/Q13402009,Motabhoy Mansion,apartment building,D,blue
1472,http://www.wikidata.org/entity/Q117032039,,,Point(72.82801 18.931376),18.982,18.931376,72.82801,1,http://www.wikidata.org/entity/Q41176,Fairlawn,building,D,blue
1473,http://www.wikidata.org/entity/Q117032036,,,Point(72.828034 18.930707),19.044,18.930707,72.828034,1,http://www.wikidata.org/entity/Q13402009,Green Fields,apartment building,D,blue
1474,http://www.wikidata.org/entity/Q117032037,,,Point(72.82804 18.930937),19.022,18.930937,72.82804,1,http://www.wikidata.org/entity/Q41176,Swastik Court,building,D,blue
1475,http://www.wikidata.org/entity/Q117032043,,,Point(72.827651 18.931263),19.012,18.931263,72.827651,1,http://www.wikidata.org/entity/Q13402009,Sneha Sadan,apartment building,D,blue
1476,http://www.wikidata.org/entity/Q117032040,,,Point(72.828031 18.931616),18.958,18.931616,72.828031,1,http://www.wikidata.org/entity/Q13402009,Court View,apartment building,D,blue
1477,http://www.wikidata.org/entity/Q117032041,,,Point(72.827654 18.931584),18.982,18.931584,72.827654,1,http://www.wikidata.org/entity/Q13402009,Chheda Sadan,apartment building,D,blue
1478,http://www.wikidata.org/entity/Q117032046,,,Point(72.827667 18.930292),19.104,18.930292,72.827667,1,http://www.wikidata.org/entity/Q13402009,Pankaj Mahal,apartment building,D,blue
1479,http://www.wikidata.org/entity/Q117032047,,,Point(72.827638 18.930007),19.133,18.930007,72.827638,1,http://www.wikidata.org/entity/Q13402009,Roshera,apartment building,D,blue
1480,http://www.wikidata.org/entity/Q117032044,,,Point(72.827642 18.930929),19.044,18.930929,72.827642,1,http://www.wikidata.org/entity/Q13402009,Lily Court,apartment building,D,blue
1481,http://www.wikidata.org/entity/Q117032045,,,Point(72.827663055 18.930586944),19.076,18.930586944444,72.827663055556,1,http://www.wikidata.org/entity/Q13402009,Fairfield,apartment building,D,blue
1482,http://www.wikidata.org/entity/Q117032051,,,Point(72.826538 18.929874),19.205,18.929874,72.826538,1,http://www.wikidata.org/entity/Q41176,Mistry Bhavan,building,D,blue
1483,http://www.wikidata.org/entity/Q117032048,,,Point(72.82757 18.929518),19.183,18.929518,72.82757,1,http://www.wikidata.org/entity/Q41176,Apeejay House,building,D,blue
1484,http://www.wikidata.org/entity/Q117032054,,,Point(72.824941 18.930478),19.236,18.930478,72.824941,1,http://www.wikidata.org/entity/Q13402009,Yashodhan Apartments,apartment building,D,blue
1485,http://www.wikidata.org/entity/Q117032055,,,Point(72.824354 18.930757),19.242,18.930757,72.824354,1,http://www.wikidata.org/entity/Q13402009,CCI Chambers,apartment building,D,blue
1486,http://www.wikidata.org/entity/Q117032052,,,Point(72.826228 18.929992),19.211,18.929992,72.826228,1,http://www.wikidata.org/entity/Q41176,Ram Mahal,building,D,blue
1487,http://www.wikidata.org/entity/Q117032053,,,Point(72.825499 18.930323),19.219,18.930323,72.825499,1,http://www.wikidata.org/entity/Q13402009,Ravindra Mansion,apartment building,D,blue
