,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,thing,articleEN,to_drop_key
371,https://www.atlasobscura.com/places/bird-hall-of-bamberg-natural-history-museum,49.894484,10.887971,"
Bird Hall of Bamberg Natural History Museum
","
A beautiful collection of taxidermy birds and rare pomological wax models.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.894484, 10.887971)"
754,,49.771709112059,10.802763510437,Köblergut,,D,blue,,,cultural heritage ensemble,,Point(10.80276351 49.771709112),14.632,http://www.wikidata.org/entity/Q41370774,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.771709112059', '10.802763510437')"
755,,49.771448225983,10.80307897602,Cultural heritage D-4-71-172-43 in Pommersfelden,,D,blue,,,house,,Point(10.803078976 49.771448225),14.649,http://www.wikidata.org/entity/Q41370777,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.771448225983', '10.80307897602')"
756,,49.77186,10.80388,Pfarrhof,,D,blue,,,cultural heritage ensemble,,Point(10.80388 49.77186),14.584,http://www.wikidata.org/entity/Q41370780,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.77186', '10.80388')"
757,,49.77146,10.80508,Bauernhaus,,D,blue,,,house,,Point(10.80508 49.77146),14.589,http://www.wikidata.org/entity/Q41370785,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.77146', '10.80508')"
758,,49.87,10.78157,Cultural heritage D-4-71-208-18 in Walsdorf (Oberfranken),,D,blue,,,Cavalier house,,Point(10.78157 49.87),7.916,http://www.wikidata.org/entity/Q41371177,1.0,,,http://www.wikidata.org/entity/Q62050886,,"('49.87', '10.78157')"
759,,49.87031,10.78146,Forstamt,,D,blue,,,cultural heritage ensemble,,Point(10.78146 49.87031),7.913,http://www.wikidata.org/entity/Q41371182,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.87031', '10.78146')"
760,,49.87063,10.78121,Wohnhaus,,D,blue,,,house,,Point(10.78121 49.87063),7.92,http://www.wikidata.org/entity/Q41371180,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.87063', '10.78121')"
761,,49.87067,10.78193,Bauernhaus,,D,blue,,,house,,Point(10.78193 49.87067),7.869,http://www.wikidata.org/entity/Q41371187,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.87067', '10.78193')"
762,,49.87056,10.78166,Gasthaus,,D,blue,,,Gasthaus,,Point(10.78166 49.87056),7.891,http://www.wikidata.org/entity/Q41371185,1.0,,,http://www.wikidata.org/entity/Q5526694,,"('49.87056', '10.78166')"
763,,49.87034,10.7826,Schulgebäude,,D,blue,,,house,,Point(10.7826 49.87034),7.834,http://www.wikidata.org/entity/Q41371191,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.87034', '10.7826')"
764,,49.87042,10.78233,Pfarrkirche,,D,blue,,,church building,,Point(10.78233 49.87042),7.85,http://www.wikidata.org/entity/Q41371189,1.0,,,http://www.wikidata.org/entity/Q16970,,"('49.87042', '10.78233')"
765,,49.87031,10.78606,Tor,,D,blue,,,cultural heritage ensemble,,Point(10.78606 49.87031),7.6,http://www.wikidata.org/entity/Q41371201,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.87031', '10.78606')"
766,,49.870377517892,10.782053012811,Denkmal,,D,blue,,,cultural heritage ensemble,,Point(10.782053012 49.870377517),7.871,http://www.wikidata.org/entity/Q41371205,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.870377517892', '10.782053012811')"
767,,49.87067,10.78232,Pfarrgasse 1,,D,blue,,,clergy house,,Point(10.78232 49.87067),7.843,http://www.wikidata.org/entity/Q41371209,1.0,,,http://www.wikidata.org/entity/Q607241,,"('49.87067', '10.78232')"
768,,49.88178,10.76102,Cultural heritage D-4-71-208-17 in Walsdorf (Oberfranken),,D,blue,,,house,,Point(10.76102 49.88178),9.08,http://www.wikidata.org/entity/Q41371226,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.88178', '10.76102')"
769,,49.87726,10.76376,Papierfabrik,,D,blue,,,cultural heritage ensemble,,Point(10.76376 49.87726),8.961,http://www.wikidata.org/entity/Q41371229,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.87726', '10.76376')"
770,,49.88486742866,10.726646400363,Brauerei,,D,blue,,,cultural heritage ensemble,,Point(10.7266464 49.884867428),11.501,http://www.wikidata.org/entity/Q41371238,1.0,,,http://www.wikidata.org/entity/Q1516079,,"('49.88486742866', '10.726646400363')"
771,,49.883070339141,10.728253235845,Verwalterhaus,,D,blue,,,house,,Point(10.728253235 49.883070339),11.401,http://www.wikidata.org/entity/Q41371240,1.0,,,http://www.wikidata.org/entity/Q3947,,"('49.883070339141', '10.728253235845')"
