,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,link,name,description,address,url
1300,http://www.wikidata.org/entity/Q30608136,,,Point(18.656722 54.349389),2.658,54.349389,18.656722,1.0,http://www.wikidata.org/entity/Q3947,2 Mariacka Street in Gdańsk,house,D,blue,,,,,
1301,http://www.wikidata.org/entity/Q30608192,,,Point(18.654167 54.349667),2.603,54.349667,18.654167,1.0,http://www.wikidata.org/entity/Q3947,3 Mariacka Street in Gdańsk,house,D,blue,,,,,
1302,http://www.wikidata.org/entity/Q30608255,,,Point(18.654528 54.349639),2.609,54.349639,18.654528,1.0,http://www.wikidata.org/entity/Q3947,6 Mariacka Street in Gdańsk,house,D,blue,,,,,
1303,http://www.wikidata.org/entity/Q30608309,,,Point(18.654611 54.349611),2.613,54.349611,18.654611,1.0,http://www.wikidata.org/entity/Q3947,7 Mariacka Street in Gdańsk,house,D,blue,,,,,
1304,http://www.wikidata.org/entity/Q30608367,,,Point(18.655056 54.349528),2.626,54.349528,18.655056,1.0,http://www.wikidata.org/entity/Q3947,12 Mariacka Street in Gdańsk,house,D,blue,,,,,
1305,http://www.wikidata.org/entity/Q30608427,,,Point(18.655139 54.349528),2.627,54.349528,18.655139,1.0,http://www.wikidata.org/entity/Q3947,13 Mariacka Street in Gdańsk,house,D,blue,,,,,
1306,http://www.wikidata.org/entity/Q30608478,,,Point(18.656139 54.349389),2.652,54.349389,18.656139,1.0,http://www.wikidata.org/entity/Q3947,23 Mariacka Street in Gdańsk,house,D,blue,,,,,
1307,http://www.wikidata.org/entity/Q30608509,,,Point(18.656194 54.349333),2.659,54.349333,18.656194,1.0,http://www.wikidata.org/entity/Q3947,24 Mariacka Street in Gdańsk,house,D,blue,,,,,
1308,http://www.wikidata.org/entity/Q30608549,,,Point(18.656444 54.349556),2.637,54.349556,18.656444,1.0,http://www.wikidata.org/entity/Q3947,30 Mariacka Street in Gdańsk,house,D,blue,,,,,
1309,http://www.wikidata.org/entity/Q30608566,,,Point(18.656167 54.349611),2.628,54.349611,18.656167,1.0,http://www.wikidata.org/entity/Q3947,33 Mariacka Street in Gdańsk,house,D,blue,,,,,
1310,http://www.wikidata.org/entity/Q30608569,,,Point(18.656083 54.349611),2.627,54.349611,18.656083,1.0,http://www.wikidata.org/entity/Q3947,34 Mariacka Street in Gdańsk,house,D,blue,,,,,
1311,http://www.wikidata.org/entity/Q30608573,,,Point(18.656 54.349611),2.626,54.349611,18.656,1.0,http://www.wikidata.org/entity/Q3947,35 Mariacka Street in Gdańsk,house,D,blue,,,,,
1312,http://www.wikidata.org/entity/Q30608580,,,Point(18.655917 54.349639),2.622,54.349639,18.655917,1.0,http://www.wikidata.org/entity/Q3947,36 Mariacka Street in Gdańsk,house,D,blue,,,,,
1313,http://www.wikidata.org/entity/Q30608606,,,Point(18.655639 54.349694),2.613,54.349694,18.655639,1.0,http://www.wikidata.org/entity/Q3947,39 Mariacka Street in Gdańsk,house,D,blue,,,,,
1314,http://www.wikidata.org/entity/Q30608655,,,Point(18.655306 54.349722),2.607,54.349722,18.655306,1.0,http://www.wikidata.org/entity/Q3947,41 Mariacka Street in Gdańsk,house,D,blue,,,,,
1315,http://www.wikidata.org/entity/Q30608698,,,Point(18.655194 54.34975),2.603,54.34975,18.655194,1.0,http://www.wikidata.org/entity/Q3947,42 Mariacka Street in Gdańsk,house,D,blue,,,,,
1316,http://www.wikidata.org/entity/Q30608725,,,Point(18.655056 54.349778),2.598,54.349778,18.655056,1.0,http://www.wikidata.org/entity/Q3947,43 Mariacka Street in Gdańsk,house,D,blue,,,,,
1317,http://www.wikidata.org/entity/Q30608785,,,Point(18.654528 54.349861),2.585,54.349861,18.654528,1.0,http://www.wikidata.org/entity/Q3947,48 Mariacka Street in Gdańsk,house,D,blue,,,,,
